"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","-1.63497859823259","26.3464250554265","10","26.998","99.1230152"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","-1.38335580566799","34.8422274355896","20","26.978","99.11923"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","-1.04435428152346","42.2743118696104","30","26.944","99.121164"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","-0.643425263528583","48.2774696930967","40","26.9589","99.1211211"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","-0.41412896347498","55.890662303748","50","26.9749","99.1201999"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","0.184538953735792","69.4499226322735","75","27.0162","99.1224615"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","0.482042534265561","85.6511537213764","100","26.9917","99.127799"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","1.28792541622938","111.2562701897","150","26.9632","99.1320754"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","1.89249621370113","134.946237562059","200","26.9628","99.131652"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","3.02561575154808","193.340353430975","300","26.9813","99.1203355"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","3.89414509061914","238.592245445579","400","26.9815","99.121096"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","5.38913545910178","445.932355785991","500","26.96","99.142682"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","5.78515577697284","540.946250625668","600","26.9727","99.1415995"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","6.1988508484646","732.362270582821","800","27.0302","99.144832"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","6.26719735871556","924.06014359057","1000","27.0354","99.147934"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","6.53531416275284","1109.8478682029","1200","27.0015","99.146285"
"100 - wt-3-2 - mcgrath1","wt-3-2","mcgrath1","100","6.51397850856457","1382.34363556558","1500","26.9831","99.1390007"
