"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","-1.51240076749677","20.8211864096969","10","27.0388","98.926621"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","-1.51568737535126","30.839476246126","20","27.0145","98.936985"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","-1.25321664975109","39.0708042375262","30","27.0236","98.934293"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","-0.793365017887136","45.4485222921364","40","26.8711","98.918813"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","-0.283142949830863","51.400214437678","50","26.8739","98.9116742"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","0.725014558196631","65.7931006623474","75","27.0263","98.912068"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","1.67755205607276","77.2999977036686","100","27.1154","98.90213"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","3.48218393878524","100.974352172202","150","27.0011","98.9031756"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","5.08708551695415","124.946764438882","200","26.9701","98.914561"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","8.42191539980252","162.27763679474","300","27.0045","98.8963371"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","11.1984780592471","208.007938455266","400","26.9367","98.89862"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","21.6432085167343","349.801456866956","500","26.8964","98.91716"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","24.6774359884443","431.36313461999","600","26.9752","98.9238362"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","26.0308450584597","619.829932641952","800","27.0072","98.943516"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","24.3829292055936","826.543382813708","1000","26.9879","98.930742"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","23.374433648323","1028.66768133858","1200","27.0842","98.936028"
"1000 - wt-1 - mcgrath1","wt-1","mcgrath1","1000","22.3511764119675","1329.14703145119","1500","27.0315","98.944139"
