"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-3.1117577324594","32.0023728200265","10","27.0087","98.7924095"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-2.88273305590431","41.0731841530504","20","26.8972","98.795085"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-2.42764983541751","49.6754653629674","30","27.0104","98.794863"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-2.0428223849297","58.1004536708985","40","27.0087","98.7998842"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-1.6314726705949","65.8997491640082","50","26.9776","98.800134"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-0.772471922565214","82.2791398896859","75","26.9354","98.7971263"
"150 - wt-1 - ripe5","wt-1","ripe5","150","-0.0750730849450704","98.7505552976185","100","27.0308","98.810691"
"150 - wt-1 - ripe5","wt-1","ripe5","150","1.23350595005009","126.041844708611","150","27.0424","98.8123963"
"150 - wt-1 - ripe5","wt-1","ripe5","150","2.21424879481333","154.104561451312","200","27.0426","98.8077787"
"150 - wt-1 - ripe5","wt-1","ripe5","150","4.04402174199452","219.052695994249","300","26.8951","98.8072833"
"150 - wt-1 - ripe5","wt-1","ripe5","150","5.3977411976574","289.400608891797","400","27.041","98.810107"
"150 - wt-1 - ripe5","wt-1","ripe5","150","8.52916190829147","434.222351694883","500","26.9261","98.804332"
"150 - wt-1 - ripe5","wt-1","ripe5","150","9.14569091783811","529.323933324667","600","26.9323","98.806303"
"150 - wt-1 - ripe5","wt-1","ripe5","150","9.93757170622943","719.327829327775","800","27.0069","98.7976522"
"150 - wt-1 - ripe5","wt-1","ripe5","150","10.3141187023973","913.471725831295","1000","26.9889","98.7910381"
"150 - wt-1 - ripe5","wt-1","ripe5","150","10.5349410054378","1107.12412311672","1200","27.0015","98.7931296"
"150 - wt-1 - ripe5","wt-1","ripe5","150","10.5804278189371","1397.29593258461","1500","26.8401","98.802108"
