"averaging","species","plot","instrument","CorrFact","CorrFactPct","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","PS2/1","S","K","Geometry","Tleaf2","Offset","Offset2","Qamb_in","f_farred","Q_modavg","Q_farred","state","period","Total","Tleaf2_mv","Tleaf2_j","Pump","AccH2O_des","AccCO2_soda","AccH2O_hum","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","cf_co2_b","cf_co2_c","cf_co2_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","DIAG","oxygen","file_name","year","doy","curve_identifier","gmc_at_25","alpha_psii","gbs","J_at_25","RL_at_25","Rm_frac","Vcmax_at_25","Vpmax_at_25","Vpr","c4_assimilation_msg","Ca_atmospheric","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","gmc_tl_avg","J_tl_avg","RL_tl_avg","Vcmax_tl_avg","Vpmax_tl_avg","convergence","convergence_msg","feval","optimizer","operating_Ci","operating_PCm","operating_An","operating_An_model","optimum_val","alpha_psii_lower","alpha_psii_upper","gbs_lower","gbs_upper","gmc_at_25_lower","gmc_at_25_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Rm_frac_lower","Rm_frac_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","Vpmax_at_25_lower","Vpmax_at_25_upper","Vpr_lower","Vpr_upper","gmc_tl_avg_lower","gmc_tl_avg_upper","J_tl_avg_lower","J_tl_avg_upper","RL_tl_avg_lower","RL_tl_avg_upper","Vcmax_tl_avg_lower","Vcmax_tl_avg_upper","Vpmax_tl_avg_lower","Vpmax_tl_avg_upper","n_Vpc_smallest","n_Vpr_smallest","n_Ac_smallest","n_Aj_smallest","Vpmax_trust","Vpr_trust","Vcmax_trust","J_trust","remove_unreliable_param"
"SysObs","UserDefCon","UserDefCon","UserDefCon","Leak","Leak","FLR","FLR","FLR","FLR","FLR","FLR","FLR","Const","Const","Const","Meas","Meas","Meas","Meas","FlrLS","FlrLS","FlrLS","FlrLS","FlrStats","Stability","Raw","Status2","Status2","Status2","Status2","Status2","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","Status","in","read_gasex_file","NA","NA","NA","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","NA","estimate_operating_point","estimate_operating_point","estimate_operating_point","fit_c4_aci","fit_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points"
"s","NA","NA","NA","NA","%","NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","NA","cm^2","NA","NA","degrees C","degrees C","degrees C","micromol m^(-2) s^(-1)","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","s","NA","mV","degrees C","NA","mg","mg","mg","V","V","V","V","NA","NA","NA","NA","NA","NA","V","%","%","NA","NA","NA","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","NA","percent","NA","NA","NA","NA","mol m^(-2) s^(-1) bar^(-1)","dimensionless","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol mol^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","NA","micromol mol^(-1)","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","dimensionless","dimensionless","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","","","","","",""
"0","maize","5","ripe1","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99967","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","0.00117587188380478","-6.26011440543328e-07","2.41796582943236e-10","2","2154","1","23","18","21","../aci_curves_2021/2021-08-04 ed ripe1.xlsx","2021","217","maize - ripe1 - 5 - 2021","1","0","0.003","239.977925009223","0.0455176095359587","0.5","37.2528664524156","155.080811017964",NA,"","420","14","4","10","71.2874753614948","5.09196252582106","2.25653772975793","2.66997144856447","72.5175654271701","1.4242742988771","305.734935733719","0.0729457817118798","64.8315499525765","221.348896832426",NA,NA,"80","optimizer_deoptim","187.766775977546","150.374838614377","52.4955750173434","53.6606873739999","31.2587827135851",NA,NA,NA,NA,NA,NA,"234.341627565477","249.909356815621","-0.806596794517","1.23609646016872",NA,NA,"34.3168334571406","43.6176279417321","137.545521766262","163.282793182153",NA,NA,NA,NA,"298.554220938083","318.387706462345","-1.29263892155535","1.98094810947974","59.7219412721621","75.9082104011876","196.320546090489","233.055694675211","14","0","8","6","2","0","2","2","2"
"0","maize","2","ripe2","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00154219930941761","9.93223079439177e-07","-3.29518194269379e-10","1","2080","1","27","18","21","../aci_curves_2021/2021-08-04 ed ripe2.xlsx","2021","217","maize - ripe2 - 2 - 2021","1","0","0.003",NA,"1.00289185671136","0.5","37.9417638411459","137.385813877693",NA,"","420","14","4","10","89.0646176998077","6.36175840712912","2.52225264538054","2.98436957664106","75.6345463851899","1.40487274923221",NA,"1.57806854974366","64.6250634422907","193.405386113306",NA,NA,"80","optimizer_deoptim","206.734453886173","166.743056552249","55.1213625065664","54.0715167258164","32.817273192595",NA,NA,NA,NA,NA,NA,"-17610999857397330","Inf","-2.70571695259029","1.35802399744247",NA,NA,"36.6945564985681","93.4174146886712","132.89014206222","174.909041959228",NA,NA,NA,NA,"-22259482957465248","Inf","-4.25749476258823","2.13687542262887","62.5007327449294","159.115068454546","187.076587536735","246.228848816577","14","0","8","6","2","0","2","1","2"
"0","maize","2","ripe3","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99989","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-8.54123300203582e-05","7.02228131465858e-07","-2.98990151938357e-10","1","2007","1","24","18","21","../aci_curves_2021/2021-08-04 ed ripe3.xlsx","2021","217","maize - ripe3 - 2 - 2021","1","0","0.003",NA,"1.14027448452543","0.5","33.3990988964768","248.495711498725",NA,"","420","12","4","8","156.361538647799","13.0301282206499","3.60972689003613","4.42099449569607","74.8616955749913","1.37226400823481",NA,"1.73903566963452","54.8398476395648","341.652948607013",NA,NA,"80","optimizer_deoptim","91.2437944846372","59.2688281845316","43.8381731247094","47.0024521702452","32.4308477874957",NA,NA,NA,NA,NA,NA,"-13106178603089900","Inf","0.421687767499028","5.08238892392627",NA,NA,"28.8815934191975","34.8071714964082","146.081145554789","260.436503398004",NA,NA,NA,NA,"-16334904308829060","Inf","0.643117143355671","7.75116495686705","47.42230284733","57.1518407590506","200.844730131047","358.070160543937","12","0","9","3","2","0","2","1","2"
"0","maize","1","ripe4","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 1 - 2021","1","0","0.003",NA,"0.940501684718765","0.5","39.4908206794747","137.267999314177",NA,"","420","14","4","10","118.945774446652","8.49612674618946","2.91481161418529","3.44885161244511","79.6848242878823","1.35822808587508",NA,"1.41480096382517","63.8034598314181","186.785680772808",NA,NA,"80","optimizer_deoptim","187.275247181539","148.075341723098","52.1442438505379","53.653530535926","34.8424121439412",NA,NA,NA,NA,NA,NA,"-13229323905400794","Inf","0.202622759663058","3.00700711388525",NA,NA,"35.8750826532022","40.1388406799825","125.303220763712","155.025917409365",NA,NA,NA,NA,"-16387261396970940","Inf","0.304806339342107","4.52345448400357","57.9616821233111","64.8504352388915","170.504760835092","210.949541520319","14","0","14","0","2","0","2","0","2"
"0","maize","5","ripe4","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 5 - 2021","1","0","0.003",NA,"0.772377910558134","0.5","32.260926410859","267.17928149754",NA,"","420","13","4","9","649.564224557541","49.9664788121185","7.06869710852845","8.49551662517446","97.7399825021897","1.38852794597475",NA,"1.19661834794213","53.9586436792959","371.720819934412",NA,NA,"80","optimizer_deoptim","186.390736588723","149.764321749803","49.6550463696601","45.7743955807719","43.8699912510948",NA,NA,NA,NA,NA,NA,"-17469040742105152","Inf","-2.44384410753079","3.84843022305291",NA,NA,"26.8712998058493","36.500637737803","104.537679649452","298.968839142072",NA,NA,NA,NA,"-21925517564810416","Inf","-3.78616304092438","5.96223966626961","44.9441182487342","61.0498558125174","145.441037851181","415.948951572256","13","0","7","6","2","0","2","1","2"
"none","maize","2","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 2 - 2022","1","0","0.003",NA,"1.02881601569195","0.5","32.6123014755184","90.2368190810515",NA,"","420","12","4","8","106.047697646483","8.83730813720689","2.97276102928017","3.64087382448367","70.2023126478492","1.58375513944863",NA,"1.89927831723005","67.0110153511251","143.309426262994",NA,NA,"80","optimizer_deoptim","124.61574970326","95.2818055166879","44.1464390311466","42.0694912773098","30.1011563239246",NA,NA,NA,NA,NA,NA,"-16669504730750256","Inf","-0.240494034024613","2.30497329082804",NA,NA,"29.4895058356782","41.6710951954728","86.4419875515714","110.745202560088",NA,NA,NA,NA,"-22496339740146216","Inf","-0.443971611327346","4.25516878265133","60.5943658939609","85.6248186574092","137.282672053429","175.879775039609","12","0","10","2","2","0","2","1","2"
"none","maize","3","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 3 - 2022","1","0","0.003","217.873756133528","1.22221575876168","0.5","31.0415018513969","101.560662691355",NA,"","420","12","4","8","46.2799620213925","3.85666350178271","1.9638389704308","2.40520170727406","60.2521539798364","1.58402610679196","294.057116203846","2.25682482997113","63.8004694810924","161.321128444349",NA,NA,"80","optimizer_deoptim","120.264120917569","91.4834492871899","43.3698947581549","42.8274376942261","25.1260769899182",NA,NA,NA,NA,NA,NA,"194.529850529269","222.982973539349","0.736064337098668","2.57475506633991",NA,NA,"29.2848382257436","34.226787875916","96.1000727929827","109.799326677929",NA,NA,NA,NA,"262.550606724492","300.952860616007","1.3591448649816","4.7542924587204","60.1899494562054","70.3472771957693","152.647410677715","174.407598500449","12","0","10","2","2","0","2","2","2"
"none","maize","5","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 5 - 2022","1","0","0.003",NA,"0.544637828414111","0.5","23.5635066614353","99.9677856729399",NA,"","420","12","4","8","52.160912347462","4.34674269562183","2.08488433626948","2.5534513982907","61.6876459049297","1.58269747792527",NA,"1.00455146850028","48.3671969567779","158.656979477355",NA,NA,"80","optimizer_deoptim","211.702805260214","183.355216690975","40.7871092117047","39.575764149543","25.8438229524649",NA,NA,NA,NA,NA,NA,"-16657601160806440","Inf","-1.23774775062883","0.927891814034498",NA,NA,"23.0207807584342","45.7309790278164","96.3449361762789","134.460475145272",NA,NA,NA,NA,"-22472629320120792","Inf","-2.28295071634597","1.71144021911202","47.2531806509214","93.8688498891678","152.907223649795","213.399673725227","12","0","9","4","2","0","2","1","2"
