"averaging","species","plot","instrument","LeakPct","CorrFact","CorrFactPct","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","PS2/1","S","K","Geometry","Tleaf2","Offset","Offset2","Qamb_in","f_farred","Q_modavg","Q_farred","state","period","gsw:OK","Total","Tleaf2_mv","Tleaf2_j","Pump","AccH2O_des","AccCO2_soda","AccH2O_hum","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","cf_co2_b","cf_co2_c","cf_co2_d","cf_h2o_b","cf_h2o_c","cf_h2o_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","DIAG","oxygen","file_name","year","doy","curve_identifier","gmc_at_25","gmc_tl","drawdown_cm","alpha_psii","gbs","J_at_25","RL_at_25","Rm_frac","Vcmax_at_25","Vpmax_at_25","Vpr","c4_assimilation_msg","Ca_atmospheric","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","gmc_tl_avg","J_tl_avg","RL_tl_avg","Vcmax_tl_avg","Vpmax_tl_avg","convergence","convergence_msg","feval","optimizer","operating_Ci","operating_PCm","operating_An","operating_An_model","optimum_val","alpha_psii_lower","alpha_psii_upper","gbs_lower","gbs_upper","gmc_at_25_lower","gmc_at_25_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Rm_frac_lower","Rm_frac_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","Vpmax_at_25_lower","Vpmax_at_25_upper","Vpr_lower","Vpr_upper","gmc_tl_avg_lower","gmc_tl_avg_upper","J_tl_avg_lower","J_tl_avg_upper","RL_tl_avg_lower","RL_tl_avg_upper","Vcmax_tl_avg_lower","Vcmax_tl_avg_upper","Vpmax_tl_avg_lower","Vpmax_tl_avg_upper","n_Vpc_smallest","n_Vpr_smallest","n_Ac_smallest","n_Aj_smallest","Vpmax_trust","Vpr_trust","Vcmax_trust","J_trust","remove_unreliable_param"
"SysObs","UserDefCon","UserDefCon","UserDefCon","Leak","Leak","Leak","FLR","FLR","FLR","FLR","FLR","FLR","FLR","Const","Const","Const","Meas","Meas","Meas","Meas","FlrLS","FlrLS","FlrLS","FlrLS","FlrStats","Stability","Stability","Raw","Status2","Status2","Status2","Status2","Status2","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","Status","in","read_gasex_file","NA","NA","NA","fit_c4_aci","apply_gm","apply_gm","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","NA","estimate_operating_point","estimate_operating_point","estimate_operating_point","fit_c4_aci","fit_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","confidence_intervals_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","fit_c4_aci","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points","identify_c4_unreliable_points"
"s","NA","NA","NA","%","NA","%","NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","NA","cm^2","NA","NA","degrees C","degrees C","degrees C","micromol m^(-2) s^(-1)","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","s","NA","NA","mV","degrees C","NA","mg","mg","mg","V","V","V","V","NA","NA","NA","NA","NA","NA","V","%","%","NA","NA","NA","NA","NA","NA","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","NA","percent","NA","NA","NA","NA","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol mol^(-1)","dimensionless","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol mol^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","NA","micromol mol^(-1)","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","dimensionless","dimensionless","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","","","","","",""
"0","maize","5","ripe1","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99967","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","0.00117587188380478","-6.26011440543328e-07","2.41796582943236e-10","0","0","0","2","2154","1","23","18","21","../aci_curves_2021/2021-08-04 ed ripe1.xlsx","2021","217","maize - ripe1 - 5 - 2021","Inf","Inf","0","0","0",NA,"3.05501234501674","0.5",NA,"73.6826308731373",NA,"",NA,"6","2","4","11.8478156832304","1.97463594720507","1.40521740211437","1.72103280642979","27.1095667034544","Inf",NA,"4.80169440474876",NA,"103.642217186972",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"10.5547833517272",NA,NA,NA,NA,NA,NA,NA,NA,"1.62556512445249","4.48446128366613",NA,NA,NA,NA,"69.445741993751","77.9195208128187",NA,NA,NA,NA,NA,NA,"2.55497067806299","7.0484208318229",NA,NA,"97.6825961442532","109.601839721105","6","0","6","0","2","0","1","0","2"
"0","maize","2","ripe2","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00154219930941761","9.93223079439177e-07","-3.29518194269379e-10","0","0","0","1","2080","1","27","18","21","../aci_curves_2021/2021-08-04 ed ripe2.xlsx","2021","217","maize - ripe2 - 2 - 2021","Inf","Inf","0","0","0",NA,"2.47511445547669","0.5",NA,"71.8752279545917",NA,"",NA,"6","2","4","2.95587105272502","0.492645175454169","0.701886867988118","0.859632341865552","18.7794658625895","Inf",NA,"3.82382278005278",NA,"99.794783744629",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"6.38973293129475",NA,NA,NA,NA,NA,NA,NA,NA,"1.74872091695606","3.20150838753993",NA,NA,NA,NA,"69.8818805086311","73.8685751825594",NA,NA,NA,NA,NA,NA,"2.70161198542373","4.94603418266874",NA,NA,"97.0271309251732","102.562436261413","6","0","6","0","2","0","1","0","2"
"0","maize","2","ripe3","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99989","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-8.54123300203582e-05","7.02228131465858e-07","-2.98990151938357e-10","-0.0232860167566153","0.0026488966622917","-3.3879166133907e-05","1","2007","1","24","18","21","../aci_curves_2021/2021-08-04 ed ripe3.xlsx","2021","217","maize - ripe3 - 2 - 2021","Inf","Inf","0","0","0",NA,"0.658355597044006","0.5",NA,"72.9900123823373",NA,"",NA,"6","2","4","2.13404243852597","0.355673739754329","0.596383886229607","0.730418106040296","16.8248138202451","Inf",NA,"0.980641209044081",NA,"98.5896222296145",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"5.41240691012257",NA,NA,NA,NA,NA,NA,NA,NA,"0.018199230719526","1.29851070525445",NA,NA,NA,NA,"70.8527742371689","75.1272547587427",NA,NA,NA,NA,NA,NA,"0.0271083221538636","1.93417222193418",NA,NA,"95.7027957382976","101.47645443618","6","0","6","0","2","0","1","0","2"
"0","maize","1","ripe4","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","0","0","0","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 1 - 2021","Inf","Inf","0","0","0",NA,"0.801207817846581","0.5",NA,"66.7898979164179",NA,"",NA,"6","2","4","3.87608616311383","0.646014360518971","0.803750185392807","0.984388917439879","20.4056611252095","Inf",NA,"1.18128625947152",NA,"89.521434516068",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"7.20283056260477",NA,NA,NA,NA,NA,NA,NA,NA,"-0.0703707450942793","1.67282208025028",NA,NA,NA,NA,"64.3736589079426","69.2061376269547",NA,NA,NA,NA,NA,NA,"-0.103753348877785","2.46637850246067",NA,NA,"86.282843218278","92.7600267548618","6","0","6","0","2","0","1","0","2"
"0","maize","5","ripe4","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","0","0","0","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 5 - 2021","Inf","Inf","0","0","0",NA,"0.572005018166102","0.5",NA,"69.7774808021393",NA,"",NA,"6","2","4","4.46166029684145","0.743610049473574","0.862328272454043","1.05613212914406","21.2498313468363","Inf",NA,"0.867166873498579",NA,"95.5113479991538",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"7.62491567341817",NA,NA,NA,NA,NA,NA,NA,NA,"-0.337412226745886","1.48140197661757",NA,NA,NA,NA,"67.1259414884079","72.4290230560987",NA,NA,NA,NA,NA,NA,"-0.51152122176393","2.24582421422924",NA,NA,"91.8819235599805","99.1407764629085","6","0","6","0","2","0","1","0","2"
"none","maize","2","ripe2","0","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","0.00540597528194844","-0.000188233470641377","2.04404754591672e-06","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 2 - 2022","Inf","Inf","0","0","0",NA,"2.48541783691708","0.5",NA,"57.0035823914703",NA,"",NA,"5","2","3","2.07434551768867","0.414869103537734","0.644103332965863","0.83153382727116","15.7904242237131","Inf",NA,"4.58083208422197",NA,"90.4191848962731",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"4.89521211185657",NA,NA,NA,NA,NA,NA,NA,NA,"1.87332763302449","3.09750955461831",NA,NA,NA,NA,"54.8729688792452","59.1342237130131",NA,NA,NA,NA,NA,NA,"3.45269885737303","5.70896810114631",NA,NA,"87.0396019117973","93.7988119919387","5","0","5","0","2","0","1","0","2"
"none","maize","3","ripe2","0","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","0.00540597528194844","-0.000188233470641377","2.04404754591672e-06","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 3 - 2022","Inf","Inf","0","0","0",NA,"2.58876723184625","0.5",NA,"56.9613842317583",NA,"",NA,"5","2","3","1.13213781341211","0.226427562682421","0.475844052902231","0.614312030760727","12.7627343482152","Inf",NA,"4.77435751972402",NA,"90.3957150255346",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"3.38136717410759",NA,NA,NA,NA,NA,NA,NA,NA,"2.13687557681527","3.04066336015008",NA,NA,NA,NA,"55.4198341047134","58.5029320753405",NA,NA,NA,NA,NA,NA,"3.94095222365999","5.60777106566219",NA,NA,"87.9493291474288","92.8420972798652","5","0","5","0","2","0","1","0","2"
"none","maize","5","ripe2","0","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","1","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","0.00540597528194844","-0.000188233470641377","2.04404754591672e-06","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 5 - 2022","Inf","Inf","0","0","0",NA,"2.29576176324909","0.5",NA,"58.1313633156609",NA,"",NA,"5","2","3","0.760346008425737","0.152069201685147","0.389960512981952","0.503436857485868","10.77228739456","Inf",NA,"4.22930114361011",NA,"92.1754575321693",NA,NA,"4020","optimizer_deoptim",NA,NA,NA,NA,"2.38614369728",NA,NA,NA,NA,NA,NA,NA,NA,"1.92500639582247","2.66652313651894",NA,NA,NA,NA,"56.8345957125448","59.4281276378171",NA,NA,NA,NA,NA,NA,"3.54628772098135","4.91232563033098",NA,NA,"90.1192499995666","94.2316598623483","5","0","5","0","2","0","1","0","2"
