"averaging","species","plot","instrument","CorrFact","CorrFactPct","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","PS2/1","S","K","Geometry","Tleaf2","Offset","Offset2","Qamb_in","f_farred","Q_modavg","Q_farred","state","period","Total","Tleaf2_mv","Tleaf2_j","Pump","AccH2O_des","AccCO2_soda","AccH2O_hum","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","cf_co2_b","cf_co2_c","cf_co2_d","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","DIAG","oxygen","file_name","year","doy","curve_identifier","Amax","c4_curvature","c4_slope","rL","Vmax","c4_assimilation_hyperbola_msg","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","convergence","convergence_msg","feval","optimizer","optimum_val","c4_curvature_lower","c4_curvature_upper","c4_slope_lower","c4_slope_upper","rL_lower","rL_upper","Vmax_lower","Vmax_upper"
"SysObs","UserDefCon","UserDefCon","UserDefCon","Leak","Leak","FLR","FLR","FLR","FLR","FLR","FLR","FLR","Const","Const","Const","Meas","Meas","Meas","Meas","FlrLS","FlrLS","FlrLS","FlrLS","FlrStats","Stability","Raw","Status2","Status2","Status2","Status2","Status2","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","Status","in","read_gasex_file","NA","NA","NA","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","fit_c4_aci_hyperbola","NA","fit_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola","confidence_intervals_c4_aci_hyperbola"
"s","NA","NA","NA","NA","%","NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","NA","cm^2","NA","NA","degrees C","degrees C","degrees C","micromol m^(-2) s^(-1)","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","s","NA","mV","degrees C","NA","mg","mg","mg","V","V","V","V","NA","NA","NA","NA","NA","NA","V","%","%","NA","NA","NA","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","NA","percent","NA","NA","NA","NA","micromol m^(-2) s^(-1)","dimensionless","mol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","","NA","","dimensionless","dimensionless","mol m^(-2) s^(-1)","mol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)"
"0","maize","5","ripe1","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99967","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","0.00117587188380478","-6.26011440543328e-07","2.41796582943236e-10","2","2154","1","23","18","21","../aci_curves_2021/2021-08-04 ed ripe1.xlsx","2021","217","maize - ripe1 - 5 - 2021","55.7756359321807","0.967643327022866","0.713517270262507","0.833088119791448","56.6087240519722","","14","4","10","7.70312199176236","0.550222999411597","0.741770179645688","0.877674312701606","41.3662361173743","0","Successful convergence","446","optimizer_nmkb","15.6831180586871","0.956122266064083","0.97754961269589","0.694791729573867","0.732594015043396","0.444839183743209","1.22126619039268","56.0345340907361","57.1838713891642"
"0","maize","2","ripe2","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00154219930941761","9.93223079439177e-07","-3.29518194269379e-10","1","2080","1","27","18","21","../aci_curves_2021/2021-08-04 ed ripe2.xlsx","2021","217","maize - ripe2 - 2 - 2021","57.3308210824502","0.972588235124887","0.630005543437164","-0.625635914478313","56.7051851679719","","14","4","10","2.88373935314168","0.205981382367263","0.453851718480015","0.537004595244927","27.6107060538445","0","Successful convergence","526","optimizer_nmkb","8.80535302692226","0.96646971033154","0.978159972649748","0.619726311700145","0.640456113287758","-0.863108408248305","-0.388060733235741","56.3556023822257","57.0549887191555"
"0","maize","2","ripe3","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99989","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-8.54123300203582e-05","7.02228131465858e-07","-2.98990151938357e-10","1","2007","1","24","18","21","../aci_curves_2021/2021-08-04 ed ripe3.xlsx","2021","217","maize - ripe3 - 2 - 2021","55.6174667853809","0.824390604186416","0.835426763851494","0.143256068087471","55.7607228534683","","12","4","8","13.0807816523801","1.09006513769834","1.04406184572483","1.27870939096712","45.0893742426539","0","Successful convergence","366","optimizer_nmkb","17.5446871213269","0.79216842736554","0.853395522780019","0.799189499968667","0.873297269899225","-0.447006022513064","0.733389424825098","54.561341747425","56.9715381860329"
"0","maize","1","ripe4","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 1 - 2021","56.0747135869358","0.958547999295281","0.590156565185559","-1.48624001226958","54.5884735746663","","14","4","10","4.65900628585742","0.33278616327553","0.576876211396804","0.682569138319146","34.3267068633932","0","Successful convergence","319","optimizer_nmkb","12.1633534316966","0.948847716689656","0.967166746195267","0.576906894227992","0.603725457984293","-1.78810726327208","-1.18429460952056","54.1334100447764","55.0441384553249"
"0","maize","5","ripe4","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00012","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00522648535208131","8.80926177612275e-07","-7.15438165096332e-11","3","2051","1","25","18","21","../aci_curves_2021/2021-08-04 ed ripe4.xlsx","2021","217","maize - ripe4 - 5 - 2021","55.8443223684796","0.910593246010187","0.671941997615548","-1.16573513844771","54.6785872300319","","13","4","9","1.67526419398203","0.128866476460156","0.358979771658733","0.431439991189973","20.2556816639887","0","Successful convergence","371","optimizer_nmkb","5.12784083199434","0.901822181043796","0.918859826955655","0.661921933317459","0.682119360098964","-1.3607551328903","-0.970846374244502","54.3650279323996","54.9924542292891"
"none","maize","2","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 2 - 2022","48.6538682885966","0.957311818265216","0.567251406257164","1.09130542573331","49.7451737143299","","12","4","8","0.878888033387585","0.0732406694489654","0.270630134037149","0.331452868706017","12.6864717720954","0","Successful convergence","564","optimizer_nmkb","1.34323588604769","0.953282425360647","0.961136874881794","0.560596537385707","0.5739660028137","0.938375739003274","1.24435830291591","49.4922822495726","49.9984488017497"
"none","maize","3","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 3 - 2022","48.0913461833916","0.954444544401998","0.572479257023353","1.23857430821199","49.3299204916036","","12","4","8","1.66399084524335","0.138665903770279","0.372378710146376","0.45606891546719","20.346271088183","0","Successful convergence","370","optimizer_nmkb","5.17313554409152","0.948864451080988","0.959737383170392","0.563333835616648","0.581841266604784","1.02797573048667","1.44896431888787","48.9787228392268","49.6824802167124"
"none","maize","5","ripe2","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00053","0","0","15","2","0","999.9","1","9999","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","-0.00060172046994075","1.00376383225786e-06","-3.75037554619293e-10","4","2150","2","31","18","21","../aci_curves_2022/2022-08-03 ed aci ripe2.xlsx","2022","215","maize - ripe2 - 5 - 2022","42.1519130126443","0.945034776554696","0.581417246934059","0.828067777191217","42.9799807898355","","12","4","8","5.43452831879583","0.452877359899652","0.672961633304345","0.824206309032804","34.5489177706993","0","Successful convergence","352","optimizer_nmkb","12.2744588853496","0.928799302791687","0.959025081515656","0.560114786243529","0.603623081629164","0.447629009166489","1.20846284915552","42.412416425934","43.5489740526344"
"none","maize","2","ripe3","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","0.0999977","0","0","15","2","0","999.9","1","9999","9999","9999","0","0","0","0","0","iiiiiiii","off","off","off","off","0","100","100","-0.00103533146615824","6.65051812645438e-07","-1.85079375457963e-10","3","2022","2","30","18","21","../aci_curves_2022/2022-08-03 ed aci ripe3.xlsx","2022","216","maize - ripe3 - 2 - 2022","60.4102065999918","0.950304920175089","0.628512983567646","-0.779738146698657","59.6304684532932","","12","4","8","2.56892511097217","0.214077092581014","0.462684657818924","0.566670661735299","25.557495799382","0","Successful convergence","390","optimizer_nmkb","7.77874789969098","0.943064331613381","0.957060036622269","0.617296929806776","0.639958376133864","-1.04125824612695","-0.518157926479442","59.2214215443799","60.0400118684418"
"none","maize","3","ripe3","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","0.0999977","0","0","15","2","0","999.9","1","9999","9999","9999","0","0","0","0","0","iiiiiiii","off","off","off","off","0","100","100","-0.00103533146615824","6.65051812645438e-07","-1.85079375457963e-10","3","2022","2","30","18","21","../aci_curves_2022/2022-08-03 ed aci ripe3.xlsx","2022","216","maize - ripe3 - 3 - 2022","42.9693945781946","0.976582032205348","0.513576030072102","-0.81056490026976","42.1588296779248","","12","4","8","2.2773834053156","0.189781950442967","0.43563970255587","0.533547491479859","24.1119708557133","0","Successful convergence","517","optimizer_nmkb","7.05598542785666","0.970671806138965","0.981936101512542","0.502198959633176","0.525294425495474","-1.05681151863501","-0.564289469186427","41.7838637080943","42.5348532366427"
"none","maize","5","ripe3","1","0","MPF-918-20220629-11_33_48","10366.9","993.596538461539","3431.87","0.710479552412668","-3.98943453734457","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","0.0999977","0","0","15","2","0","999.9","1","9999","9999","9999","0","0","0","0","0","iiiiiiii","off","off","off","off","0","100","100","-0.00103533146615824","6.65051812645438e-07","-1.85079375457963e-10","3","2022","2","30","18","21","../aci_curves_2022/2022-08-03 ed aci ripe3.xlsx","2022","216","maize - ripe3 - 5 - 2022","50.0796825673507","0.962840906451511","0.471023936848532","-0.841195851435092","49.2384867159156","","12","4","8","12.3355350252588","1.0279612521049","1.01388423999237","1.24174952311541","44.3854544827238","0","Successful convergence","303","optimizer_nmkb","17.1927272413619","0.946846773677245","0.976025475721924","0.450239915919031","0.492944095191994","-1.41433957017649","-0.268062768120114","48.3121034387282","50.16960131012"
