"curve_identifier","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_RL","true_Vcmax","true_J","true_Tp","true_alpha_old","true_alpha_g","true_alpha_s","J","J_lower","J_upper","RL","RL_lower","RL_upper","Tp","Tp_lower","Tp_upper","Vcmax","Vcmax_lower","Vcmax_upper","alpha_old","alpha_old_lower","alpha_old_upper","alpha_g","alpha_g_lower","alpha_g_upper","alpha_s","alpha_s_lower","alpha_s_upper","AIC","RSS","RMSE","package","false_negative_Vcmax","false_negative_Tp","false_negative_J","false_positive_Vcmax","false_positive_Tp","false_positive_J","Vcmax_diff_rel","Tp_diff_rel","RL_diff_rel","J_diff_rel","Vcmax_diff_abs_upper","Tp_diff_abs_upper","RL_diff_abs_upper","J_diff_abs_upper","Vcmax_diff_abs_lower","Tp_diff_abs_lower","RL_diff_abs_lower","J_diff_abs_lower","Vcmax_diff_abs","Tp_diff_abs","RL_diff_abs","J_diff_abs","true_Vcmax_in_confidence_interval","true_Tp_in_confidence_interval","true_RL_in_confidence_interval","true_J_in_confidence_interval"
"Curve 1",17,0,0,1.60244125088677,46.7736513387645,145.547406748333,16.4606548431143,0,0.102921696189342,0.356153268003836,NA,155.142995733962,Inf,2.88515938606379,2.88509828562868,2.88515938606379,NA,7.80614144247771,Inf,48.1150611727355,48.1150611727355,48.115366743481,NA,NA,NA,NA,0.569871163257778,0.569871163257778,NA,-2.92632402395173,23.7361760220184,-275.743585898147,3.94432041532785e-08,4.81683348228337e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.86787495860802,NA,80.0477480511178,NA,1.34171540471655,Inf,1.28271813517702,Inf,1.34140983397105,-8.65451340063661,1.28265703474191,9.59558898562884,1.34140983397105,NA,1.28271813517702,NA,FALSE,TRUE,FALSE,FALSE
"Curve 2",14,0,3,0.809220046047121,35.0804832506692,125.950158981257,5.80910727549344,0,0.32115387180562,0.535430860961787,NA,89.2016666991562,Inf,0.571205753867963,0.570900251692424,0.571450155608394,5.73840500560161,5.73767190056301,5.73846609768816,34.8868948864834,34.8860392883961,34.8891695468968,0,NA,NA,0.202416025326542,0.202354990170292,0.202843271420293,0.510022000006261,0.509137346031562,0.510083035162511,-191.227399819828,5.68963925446145e-06,0.000578519370485677,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.5518406425662,-1.21709354878167,-29.4128022831133,NA,-0.191313703772423,-0.070641177805288,-0.237769890438727,Inf,-0.19444396227312,-0.0714353749304308,-0.238319794354697,-36.7484922821009,-0.193588364185821,-0.0707022698918376,-0.238014292179158,NA,TRUE,FALSE,FALSE,TRUE
"Curve 3",9,1,7,2.27772794398945,95.9278383455239,124.681234126352,3.14690385617316,0,0.338741532058466,0.508650917810155,124.718444646526,124.651465687751,124.747233892931,2.30934460530205,2.30867250051586,2.31264445941508,3.15891273714483,3.15830181627935,3.15952365801031,96.0112773258619,95.9889413027528,96.0444469669731,0,NA,NA,0.345187703652867,0.344318688792221,0.345309773965368,0.510858232638325,0.510369951388323,0.511407549044577,-134.523751469998,0.000159837164107086,0.00306629844013042,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0869809867261047,0.381609401511063,1.38807891416688,0.0298445234639191,0.116608621449203,0.0126198018371517,0.034916515425631,0.065999766579381,0.0611029572288828,0.0113979601061898,0.0309445565264115,-0.0297684386009962,0.0834389803379594,0.012008880971671,0.0316166613126043,0.037210520173943,TRUE,TRUE,FALSE,TRUE
"Curve 4",13,4,0,0.970993463299237,84.4920419288101,184.216428957321,17.5572359490581,0,0.401586077315712,0.837078613257036,182.508366183646,182.506301395896,182.523612150832,0.507178469756892,0.505931845441539,0.507422871497323,NA,12.8241126082961,Inf,84.1347231633093,84.1323952514324,84.1403857563691,NA,NA,NA,NA,0.306283254141506,0.306649465079007,NA,0.611838020592481,0.614042731590257,-165.338845307458,2.60887188780219e-05,0.00123880205127235,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.422902272620961,NA,-47.7670562236739,-0.927204366810639,-0.351656172440926,Inf,-0.463570591801914,-1.69281680648885,-0.359646677377654,-4.73312334076195,-0.465061617857698,-1.71012756142522,-0.357318765500793,NA,-0.463814993542345,-1.7080627736749,TRUE,TRUE,FALSE,TRUE
"Curve 5",11,0,6,1.26797972631175,109.193462848081,188.570318754599,9.02404085695744,0,0.0254961048844714,0.342176993817557,NA,179.444462121374,Inf,3.10961410226361,3.10750402694553,3.11316352629778,9.62699717033614,9.62556754900704,9.62840662298426,111.169392364289,111.136165506004,111.194910641271,0,NA,NA,0.31737378898389,0.316537742748366,0.317801035077642,0.269526974464758,0.268796464804535,0.27019836118351,-113.206541176714,0.000560096516254957,0.00573993500811206,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.80956759193289,6.68166648330085,145.241626323847,NA,2.00144779319008,0.604365766026824,1.84518379998603,Inf,1.94270265792274,0.601526692049601,1.83952430063378,-9.12585663322574,1.97592951620815,0.6029563133787,1.84163437595186,NA,FALSE,FALSE,FALSE,TRUE
"Curve 6",3,15,0,1.46516326073557,96.8063829514431,83.5909694038099,8.17190252667293,0,0.470844792352499,0.628227578070946,83.1960145396212,83.1867470961859,83.2021841471734,1.35176685616308,1.35062255765928,1.35280556355992,NA,5.99085329593652,Inf,96.6627620530835,96.5483633654773,96.8681013806027,NA,NA,NA,NA,0.450757173627811,0.451123384565312,NA,0.567550494367703,0.569470688305789,-144.0918241436,9.10426218042622e-05,0.00231418416324786,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.148358913927869,NA,-7.73950641620362,-0.472485086613559,0.0617184291596544,Inf,-0.112357697175648,-0.388785256636524,-0.258019585965769,-2.18104923073641,-0.114540703076288,-0.404222307623968,-0.143620898359615,NA,-0.113396404572488,-0.394954864188705,TRUE,TRUE,FALSE,TRUE
"Curve 7",0,17,0,1.89063093741192,95.2503358495887,31.4785098014632,12.0353985546716,0,0.295810954515221,0.637491794963134,30.2304691786925,30.2301636917403,30.230530276083,1.57257600076284,1.57257600076284,1.57263710119795,NA,2.1172589387645,Inf,NA,34.2945644946092,Inf,NA,NA,NA,NA,0.133008486137728,0.133069521293978,NA,0.544590779214611,0.544651814370861,-279.954857991911,3.0788458008863e-08,4.25568533285443e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,-16.8226876200632,-3.96473858083556,Inf,Inf,-0.31799383621397,-1.24797952538027,-60.9557713549796,-9.91813961590705,-0.318054936649078,-1.24834610972294,NA,NA,-0.318054936649078,-1.24804062277072,TRUE,TRUE,FALSE,FALSE
"Curve 8",9,0,8,1.71116492936853,55.3990659936098,136.742220030655,2.68600964946672,0,0.0368809094230163,0.0729940107453149,NA,64.3274954983813,Inf,1.69578899106093,1.69548348888539,1.69585009149604,2.68288186760672,2.68288186760672,2.68300405177981,55.4590080965661,55.4531700275244,55.4606031268154,0,NA,NA,0.0313111591387587,0.0313111591387587,0.0314332294512587,0.0765598982562552,0.0765598982562552,0.0766819685687553,-215.029694645655,1.40285838178243e-06,0.000287264827783214,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.10820056598641,-0.116447156495777,-0.898565535309167,NA,0.0615371332055972,-0.00300559768691011,-0.0153148378724948,Inf,0.054104033914534,-0.00312778186000617,-0.0156814404831442,-72.4147245322739,0.0599421029562706,-0.00312778186000617,-0.0153759383076031,NA,TRUE,TRUE,TRUE,TRUE
"Curve 9",11,6,0,1.11958950396627,70.4054447393864,111.906954713701,14.53982116675,0,0.0745630675280818,0.123624279127689,114.065720647309,114.056147635779,114.069460854433,1.60875069170359,1.60795638604718,1.60942279648978,NA,8.47476587203874,Inf,70.9749632401639,70.9712415316831,70.9935754370009,NA,NA,NA,NA,0.195238109753839,0.195726391003839,NA,0.131903864484866,0.133309553609974,-157.084402560545,4.23961878796365e-05,0.00157920657441783,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.808912581811816,NA,43.6911194687343,1.92907218244918,0.588130697614488,Inf,0.489833292523504,2.16250614073157,0.565796792296695,-6.06505529471131,0.488366882080907,2.1491929220776,0.569518500777463,NA,0.489161187737314,2.15876593360801,TRUE,TRUE,FALSE,FALSE
"Curve 10",17,0,0,2.0313762798789,51.2314807501389,163.027261878853,10.8382118897513,0,0.161522892084417,0.440129843887407,NA,174.597927554331,Inf,3.14824037310433,3.14817927266922,3.14824037310433,NA,7.61297869240453,Inf,52.4123852316368,52.4123852316368,52.4126296882332,NA,NA,NA,NA,0.533281486210526,0.533281486210526,NA,-2.79150916981243,53.9353782995998,-277.615182147839,3.53312510303048e-08,4.55884731498607e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.30503679418773,NA,54.9806603674636,NA,1.1811489380943,Inf,1.11686409322543,Inf,1.1809044814979,-3.22523319734673,1.11680299279032,11.5706656754781,1.1809044814979,NA,1.11686409322543,NA,FALSE,TRUE,FALSE,FALSE
