"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","A","pCi","Cc","Ac","Aj","Ap","Limiting process","residual","res^2","Ci","A_fit","Ac_limiting","Aj_limiting","Ap_limiting","limiting_process"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","NA","NA","NA","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","NA","NA","NA","NA","fit_c3_aci_msu","identify_c3_limits","identify_c3_limits","identify_c3_limits","identify_c3_limits"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","NA","micromol m^(-2) s^(-1)","","","",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-2.20013652668743","2.5","2.5","-2.21506148667261","0.396355350243607",NA,"1","0.0149249599851808","0.000222754430559249","25","-2.21506148667261","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-1.61442125937913","3.3","3.3","-1.63046631220964","2.55389554366054",NA,"1","0.0160450528305103","0.000257443720333866","33","-1.63046631220964","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-1.04299552921669","4.1","4.1","-1.06013334828998","4.43807912952955",NA,"1","0.0171378190732845","0.000293704842588634","41","-1.06013334828998","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-0.623492018962152","4.7","4.7","-0.641432075755116","5.70166067171755",NA,"1","0.0179400567929634","0.000321845637734752","47","-0.641432075755116","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","-0.211526467900345","5.3","5.3","-0.230254347193458","6.85559144076966",NA,"1","0.0187278792931127","0.0003507334628174","53","-0.230254347193458","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","0.786712862958188","6.8","6.8","0.766076000247998","9.34519607234839",NA,"1","0.0206368627101903","0.000425880102519242","68","0.766076000247998","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1.61704037999984","8.1","8.1","1.5948156401025","11.1395334188138",NA,"1","0.0222247398973316","0.000493939063504045","81","1.5948156401025","TRUE","FALSE","FALSE","Ac"
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","3.18797076826733","10.7","10.7","3.16274185896104","14.0003362800593",NA,"1","0.0252289093062892","0.000636497864784965","107","3.16274185896104","TRUE","FALSE","FALSE","Ac"
