"Ci","Cc","Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Pci","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","A","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","PCc","gmc_at_25","gmc_tl","drawdown_cm","drawdown_cs","alpha_g","alpha_old","alpha_s","alpha_t","Gamma_star_agt","J_at_25","RL_at_25","Tp_at_25","Vcmax_at_25","J_tl","RL_tl","Tp_tl","Vcmax_tl","Ac","Aj","Ap","Ad","A_fit","Wc","Wj","Wp","Wd","Vc","atp_use","nadph_use","curvature_cj","curvature_cjp","c3_assimilation_msg","c3_optional_arguments","Ca_atmospheric","A_residuals","Ac_limiting","Aj_limiting","Ap_limiting","limiting_process"
"NA","apply_gm","NA","NA","NA","NA","NA","NA","NA","","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","","NA","NA","NA","","","","","","","","apply_gm","apply_gm","apply_gm","apply_gm","apply_gm","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","calculate_residuals","identify_c3_limits","identify_c3_limits","identify_c3_limits","identify_c3_limits"
"micromol mol^(-1)","micromol mol^(-1)","micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","Pa","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","micromol m^(-2) s^(-1)","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","microbar","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol mol^(-1)","micromol mol^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","","","micromol mol^(-1)","micromol m^(-2) s^(-1)","","","",""
"25","25","420","Inf","25","1","21","1800","Curve 1","2.5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-2.20013652668743","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","25","Inf","Inf","0","395",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","-2.20014839546056",NA,NA,"Inf","-2.20014839546056","1.88000687800231",NA,NA,"Inf","1.88000687800231","4","8","1","1","","",NA,"1.18687731300859e-05","TRUE","FALSE","FALSE","Ac"
"33","33","420","Inf","25","1","21","1800","Curve 1","3.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.61442125937913","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","33","Inf","Inf","0","387",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","-1.61443458410262",NA,NA,"Inf","-1.61443458410262","2.45096368208157",NA,NA,"Inf","2.45096368208157","4","8","1","1","","",NA,"1.33247234876954e-05","TRUE","FALSE","FALSE","Ac"
"41","41","420","Inf","25","1","21","1800","Curve 1","4.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.04299552921669","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","41","Inf","Inf","0","379",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","-1.04301027437011",NA,NA,"Inf","-1.04301027437011","3.00799100725539",NA,NA,"Inf","3.00799100725539","4","8","1","1","","",NA,"1.47451534175946e-05","TRUE","FALSE","FALSE","Ac"
"47","47","420","Inf","25","1","21","1800","Curve 1","4.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.623492018962152","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","47","Inf","Inf","0","373",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","-0.623507806902602",NA,NA,"Inf","-0.623507806902602","3.41692414744088",NA,NA,"Inf","3.41692414744088","4","8","1","1","","",NA,"1.5787940449985e-05","TRUE","FALSE","FALSE","Ac"
"53","53","420","Inf","25","1","21","1800","Curve 1","5.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.211526467900345","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","53","Inf","Inf","0","367",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","-0.211543279890235",NA,NA,"Inf","-0.211543279890235","3.81850926490922",NA,NA,"Inf","3.81850926490922","4","8","1","1","","",NA,"1.68119898900088e-05","TRUE","FALSE","FALSE","Ac"
"68","68","420","Inf","25","1","21","1800","Curve 1","6.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.786712862958188","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","68","Inf","Inf","0","352",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","0.786693569580169",NA,NA,"Inf","0.786693569580169","4.79159562591953",NA,NA,"Inf","4.79159562591953","4","8","1","1","","",NA,"1.92933780185367e-05","TRUE","FALSE","FALSE","Ac"
"81","81","420","Inf","25","1","21","1800","Curve 1","8.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","1.61704037999984","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","81","Inf","Inf","0","339",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","1.61701902262296",NA,NA,"Inf","1.61701902262296","5.60100110317105",NA,NA,"Inf","5.60100110317105","4","8","1","1","","",NA,"2.13573768788056e-05","TRUE","FALSE","FALSE","Ac"
"107","107","420","Inf","25","1","21","1800","Curve 1","10.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3.18797076826733","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","107","Inf","Inf","0","313",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","3.18794550592709",NA,NA,"Inf","3.18794550592709","7.13234823372843",NA,NA,"Inf","7.13234823372843","4","8","1","1","","",NA,"2.52623402419161e-05","TRUE","FALSE","FALSE","Ac"
"132","132","420","Inf","25","1","21","1800","Curve 1","13.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","4.59532948660657","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","132","Inf","Inf","0","288",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","4.59530072590365",NA,NA,"Inf","4.59530072590365","8.5042452643604",NA,NA,"Inf","8.5042452643604","4","8","1","1","","",NA,"2.87607029170189e-05","TRUE","FALSE","FALSE","Ac"
"182","182","420","Inf","25","1","21","1800","Curve 1","18.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","7.14511591747044","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","182","Inf","Inf","0","238",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","7.14508081859832",NA,NA,"Inf","7.14508081859832","10.9897838748546",NA,NA,"Inf","10.9897838748546","4","8","1","1","","",NA,"3.50988721127266e-05","TRUE","FALSE","FALSE","Ac"
"240","240","420","Inf","25","1","21","1800","Curve 1","24","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9.72918114223278","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","240","Inf","Inf","0","180",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","9.72913961998245",NA,NA,"Inf","9.72913961998245","13.5087375450278",NA,NA,"Inf","13.5087375450278","4","8","1","1","","",NA,"4.15222503278301e-05","TRUE","FALSE","FALSE","Ac"
"388","388","420","Inf","25","1","21","1800","Curve 1","38.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14.9685027745571","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","388","Inf","Inf","0","32",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","14.9684482285858",NA,NA,"Inf","14.9684482285858","18.6160422401616",NA,NA,"Inf","18.6160422401616","4","8","1","1","","",NA,"5.45459712899543e-05","TRUE","FALSE","FALSE","Ac"
"473","473","420","Inf","25","1","21","1800","Curve 1","47.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17.333063735106","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","473","Inf","Inf","0","-53",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","17.3330033113924",NA,NA,"Inf","17.3330033113924","20.9210225683848",NA,NA,"Inf","20.9210225683848","4","8","1","1","","",NA,"6.04237135384267e-05","TRUE","FALSE","FALSE","Ac"
"659","659","420","Inf","25","1","21","1800","Curve 1","65.9","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","21.4064910656096","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","659","Inf","Inf","0","-239",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","21.4064205163141",NA,NA,"Inf","21.4064205163141","24.8918103898491",NA,NA,"Inf","24.8918103898491","4","8","1","1","","",NA,"7.05492955539455e-05","TRUE","FALSE","FALSE","Ac"
"853","853","420","Inf","25","1","21","1800","Curve 1","85.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","24.5552076802235","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","853","Inf","Inf","0","-433",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","24.5551293039592",NA,NA,"Inf","24.5551293039592","27.9611877402007",NA,NA,"Inf","27.9611877402007","4","8","1","1","","",NA,"7.8376264280422e-05","TRUE","FALSE","FALSE","Ac"
"1044","1044","420","Inf","25","1","21","1800","Curve 1","104.4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","26.9357420531303","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1044","Inf","Inf","0","-624",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","26.9356577594176",NA,NA,"Inf","26.9356577594176","30.2817389933752",NA,NA,"Inf","30.2817389933752","4","8","1","1","","",NA,"8.42937126783738e-05","TRUE","FALSE","FALSE","Ac"
"1329","1329","420","Inf","25","1","21","1800","Curve 1","132.9","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","29.6180158679092","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1329","Inf","Inf","0","-909",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065",NA,"2.88515938606379",NA,"48.1150611727355","29.6179249066949",NA,NA,"Inf","29.6179249066949","32.8964266589189",NA,NA,"Inf","32.8964266589189","4","8","1","1","","",NA,"9.0961214343821e-05","TRUE","FALSE","FALSE","Ac"
"25","25","420","Inf","25","1","21","1800","Curve 2","2.5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.814452844448616","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","25","Inf","Inf","0","395","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","-0.81473075123154",NA,"-Inf","-0.571205753867963","-0.81473075123154","1.36314078669192",NA,"Inf","0","1.36314078669192","4","8","1","1","","",NA,"0.000277906782924275","TRUE","FALSE","FALSE","Ac"
"33","33","420","Inf","25","1","21","1800","Curve 2","3.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.380629267755944","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","33","Inf","Inf","0","387","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","-0.380905105975866",NA,"Inf","Inf","-0.380905105975866","1.77712571205917",NA,"Inf","Inf","1.77712571205917","4","8","1","1","","",NA,"0.000275838219921665","TRUE","FALSE","FALSE","Ac"
"41","41","420","Inf","25","1","21","1800","Curve 2","4.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.042610432333367","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","41","Inf","Inf","0","379","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","0.0423366122102754",NA,"Inf","Inf","0.0423366122102754","2.18101075904005",NA,"Inf","Inf","2.18101075904005","4","8","1","1","","",NA,"0.000273820123091628","TRUE","FALSE","FALSE","Ac"
"47","47","420","Inf","25","1","21","1800","Curve 2","4.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.353325422041779","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","47","Inf","Inf","0","373","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","0.353053083473787",NA,"Inf","Inf","0.353053083473787","2.47751682449081",NA,"Inf","Inf","2.47751682449081","4","8","1","1","","",NA,"0.00027233856799258","TRUE","FALSE","FALSE","Ac"
"53","53","420","Inf","25","1","21","1800","Curve 2","5.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.658457247710464","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","53","Inf","Inf","0","367","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","0.658186364075857",NA,"Inf","Inf","0.658186364075857","2.76869504269565",NA,"Inf","Inf","2.76869504269565","4","8","1","1","","",NA,"0.000270883634606256","TRUE","FALSE","FALSE","Ac"
"68","68","420","Inf","25","1","21","1800","Curve 2","6.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","1.39782632528038","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","68","Inf","Inf","0","352","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","1.39755896711465",NA,"Inf","Inf","1.39755896711465","3.47425294420517",NA,"Inf","Inf","3.47425294420517","4","8","1","1","","",NA,"0.000267358165725318","TRUE","FALSE","FALSE","Ac"
"81","81","420","Inf","25","1","21","1800","Curve 2","8.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","2.0128276294546","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","81","Inf","Inf","0","339","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","2.01256320374579",NA,"Inf","Inf","2.01256320374579","4.06113038168869",NA,"Inf","Inf","4.06113038168869","4","8","1","1","","",NA,"0.000264425708816685","TRUE","FALSE","FALSE","Ac"
"107","107","420","Inf","25","1","21","1800","Curve 2","10.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3.17637360104134","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","107","Inf","Inf","0","313","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","3.17611472336697",NA,"Inf","Inf","3.17611472336697","5.17146766644613",NA,"Inf","Inf","5.17146766644613","4","8","1","1","","",NA,"0.000258877674366165","TRUE","FALSE","FALSE","Ac"
"132","132","420","Inf","25","1","21","1800","Curve 2","13.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","4.2187664273123","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","132","Inf","Inf","0","288","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","4.21851251998844",NA,"71.3969465997797","Inf","4.21851251998844","6.16619211106259",NA,"92.6504290895411","Inf","6.16619211106259","4","8","1","1","","",NA,"0.000253907323859437","TRUE","FALSE","FALSE","Ac"
"182","182","420","Inf","25","1","21","1800","Curve 2","18.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6.1073247951405","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","182","Inf","Inf","0","238","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829",NA,"0.571205753867963","5.73840500560161","34.8868948864834","6.10707989286427",NA,"34.6631690079198","Inf","6.10707989286427","7.96838714370121",NA,"42.0408999734176","Inf","7.96838714370121","4","8","1","1","","",NA,"0.000244902276235415","TRUE","FALSE","FALSE","Ac"
