"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","gmc_at_25","gmc_tl","drawdown_cm","alpha_g","alpha_old","alpha_s","alpha_t","Gamma_star_agt","J_at_25","RL_at_25","Tp_at_25","Vcmax_at_25","J_tl","RL_tl","Tp_tl","Vcmax_tl","atp_use","nadph_use","curvature_cj","curvature_cjp","c3_assimilation_msg","c3_optional_arguments","Ca_atmospheric","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","gmc_tl_avg","J_tl_avg","RL_tl_avg","Tp_tl_avg","Vcmax_tl_avg","convergence","convergence_msg","feval","optimizer","operating_Ci","operating_Cc","operating_An","operating_An_model","optimum_val","alpha_g_lower","alpha_g_upper","alpha_old_lower","alpha_old_upper","alpha_s_lower","alpha_s_upper","alpha_t_lower","alpha_t_upper","Gamma_star_lower","Gamma_star_upper","gmc_at_25_lower","gmc_at_25_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Tp_at_25_lower","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","gmc_tl_avg_lower","gmc_tl_avg_upper","J_tl_avg_lower","J_tl_avg_upper","RL_tl_avg_lower","RL_tl_avg_upper","Tp_tl_avg_lower","Tp_tl_avg_upper","Vcmax_tl_avg_lower","Vcmax_tl_avg_upper","n_Ac_limiting","n_Aj_limiting","n_Ap_limiting","n_Ad_limiting","Vcmax_trust","J_trust","alpha_g_trust","alpha_old_trust","alpha_s_trust","alpha_t_trust","Tp_trust","remove_unreliable_param"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","fit_c3_aci","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci","apply_gm","apply_gm","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","NA","estimate_operating_point","estimate_operating_point","estimate_operating_point","fit_c3_aci","fit_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol mol^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","","","micromol mol^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","NA","micromol mol^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","micromol mol^(-1)","micromol mol^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","","","","","","","","",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","Inf","Inf","0",NA,NA,NA,NA,"15.8908446211229",NA,"2.88207692178552",NA,"48.052870259065","254.861960669993","2.88515938606379","25.4824936223171","48.1150611727355","4","8","1","1","","",NA,"17","6","11","3.94432041532785e-08","2.32018847960461e-09","4.81683348228337e-05","5.98810974525035e-05","-275.743585898147","Inf",NA,"2.88515938606379",NA,"48.1150611727355",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-144.871792949074","0.569871163257778","0.569871163257778",NA,NA,"-2.92632402395173","23.7361760220184",NA,NA,NA,NA,NA,NA,"154.984966117496","Inf","2.88201588662927","2.88207692178552","7.79886708054181","Inf","48.052870259065","48.0531754348463",NA,NA,"155.142995733962","Inf","2.88509828562868","2.88515938606379","7.80614144247771","Inf","48.1150611727355","48.115366743481","17","0","0","0","2","0","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","Inf","Inf","0","0.202416025326542","0","0.510022000006261","0","29.4662480893585",NA,"0.570595485561698","5.73305751923423","34.8418019817829","138.727621704089","0.571205753867963","5.73840500560161","34.8868948864834","4","8","1","1","","",NA,"17","6","11","5.68963925446145e-06","3.34684662027144e-07","0.000578519370485677","0.000719193946181257","-191.227399819828","Inf",NA,"0.571205753867963","5.73840500560161","34.8868948864834",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-102.613699909914","0.202354990170292","0.202843271420293",NA,NA,"0.509137346031562","0.510083035162511",NA,NA,NA,NA,NA,NA,"89.1108053289093","Inf","0.570290309780446","0.570839626186698","5.73232509735919","5.73311855439048","34.8409474895952","34.8440737020939",NA,NA,"89.2016666991562","Inf","0.570900251692424","0.571450155608394","5.73767190056301","5.73846609768816","34.8860392883961","34.8891695468968","14","0","3","0","2","0","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","1","7","0.338741532058466","0","0.508650917810155","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","Inf","Inf","0","0.345187703652867","0","0.510858232638325","0","24.1916364781862","124.591405666258","2.30687733355047","3.15596901972141","95.8871783657019","124.718444646526","2.30934460530205","3.15891273714483","96.0112773258619","4","8","1","1","","",NA,"17","6","11","0.000159837164107086","9.40218612394623e-06","0.00306629844013042","0.0038119091387994","-134.523751469998","Inf","124.718444646526","2.30934460530205","3.15891273714483","96.0112773258619",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-74.2618757349992","0.344318688792221","0.345309773965368",NA,NA,"0.510369951388323","0.511407549044577",NA,NA,NA,NA,NA,NA,"124.524494932665","124.620165587759","2.30620594683171","2.31017366214512","3.1553586681589","3.15657937128392","95.8648712129226","95.9203051335374",NA,NA,"124.651465687751","124.747233892931","2.30867250051586","2.31264445941508","3.15830181627935","3.15952365801031","95.9889413027528","96.0444469669731","9","1","7","0","2","2","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0.401586077315712","0","0.837078613257036","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","Inf","Inf","0",NA,NA,NA,NA,"25.6266824675368","182.322462031329","0.506636607313076",NA,"84.0259751917301","182.508366183646","0.507178469756892","78.8916731464168","84.1347231633093","4","8","1","1","","",NA,"17","6","11","2.60887188780219e-05","1.53463052223658e-06","0.00123880205127235","0.00154003302438091","-165.338845307458","Inf","182.508366183646","0.507178469756892",NA,"84.1347231633093",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-89.669422653729","0.306283254141506","0.306649465079007",NA,NA,"0.611838020592481","0.614042731590257",NA,NA,NA,NA,NA,NA,"182.320399346784","182.337692468878","0.505391314873853","0.506880747938077","12.8121621155582","Inf","84.0236502887856","84.0316304656298",NA,NA,"182.506301395896","182.523612150832","0.505931845441539","0.507422871497323","12.8241126082961","Inf","84.1323952514324","84.1403857563691","13","4","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0.0254961048844714","0","0.342176993817557","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","Inf","Inf","0","0.31737378898389","0","0.269526974464758","0","25.2192044033164",NA,"3.10629183367917","9.6180259952314","111.025700848269","600.151131128726","3.10961410226361","9.62699717033614","111.169392364289","4","8","1","1","","",NA,"17","6","11","0.000560096516254957","3.29468538973504e-05","0.00573993500811206","0.00713567551911429","-113.206541176714","Inf",NA,"3.10961410226361","9.62699717033614","111.169392364289",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-63.6032705883571","0.316537742748366","0.317801035077642",NA,NA,"0.268796464804535","0.27019836118351",NA,NA,NA,NA,NA,NA,"179.261678880713","Inf","3.10418401273629","3.10983746555792","9.61659770613321","9.61943413444333","110.992516937215","111.051186141712",NA,NA,"179.444462121374","Inf","3.10750402694553","3.11316352629778","9.62556754900704","9.62840662298426","111.136165506004","111.194910641271","11","0","6","0","2","0","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3","15","0","0.470844792352499","0","0.628227578070946","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","Inf","Inf","0",NA,NA,NA,NA,"20.2846727940321","83.1112705638651","1.35032264719952",NA,"96.5378210191644","83.1960145396212","1.35176685616308","9.81101983273534","96.6627620530835","4","8","1","1","","",NA,"17","6","11","9.10426218042622e-05","5.35544834142719e-06","0.00231418416324786","0.00287690840698929","-144.0918241436","Inf","83.1960145396212","1.35176685616308",NA,"96.6627620530835",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-79.0459120717998","0.450757173627811","0.451123384565312",NA,NA,"0.567550494367703","0.569470688305789",NA,NA,NA,NA,NA,NA,"83.1020125603052","83.1174338870169","1.34917957124837","1.35136024485578","5.98527055886974","Inf","96.4235701970859","96.7428949362264",NA,NA,"83.1867470961859","83.2021841471734","1.35062255765928","1.35280556355992","5.99085329593652","Inf","96.5483633654773","96.8681013806027","2","15","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0.295810954515221","0","0.637491794963134","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","Inf","Inf","0",NA,NA,NA,NA,"32.0282119161641","30.1996762355287","1.57089588237124",NA,NA,"30.2304691786925","1.57257600076284","55.5031437221296","78.5158597238796","4","8","1","1","","",NA,"17","6","11","3.0788458008863e-08","1.81108576522723e-09","4.25568533285443e-05","5.29051106045385e-05","-279.954857991911","Inf","30.2304691786925","1.57257600076284",NA,NA,NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-146.977428995956","0.133008486137728","0.133069521293978",NA,NA,"0.544590779214611","0.544651814370861",NA,NA,NA,NA,NA,NA,"30.1993710597474","30.199737270685","1.57089588237124","1.57095691752749","2.11528591432649","Inf","34.2502372039881","Inf",NA,NA,"30.2301636917403","30.230530276083","1.57257600076284","1.57263710119795","2.1172589387645","Inf","34.2945644946092","Inf","0","17","0","0","0","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0.0368809094230163","0","0.0729940107453149","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","Inf","Inf","0","0.0313111591387587","0","0.0765598982562552","0","35.7876118535313",NA,"1.69397723361915","2.68038175229622","55.3873247961458","182.481454369308","1.69578899106093","2.68288186760672","55.4590080965661","4","8","1","1","","",NA,"17","6","11","1.40285838178243e-06","8.25210812813196e-08","0.000287264827783214","0.000357117039865139","-215.029694645655","Inf",NA,"1.69578899106093","2.68288186760672","55.4590080965661",NA,NA,"30060","optimizer_deoptim",NA,NA,NA,NA,"-114.514847322827","0.0313111591387587","0.0314332294512587",NA,NA,"0.0765598982562552","0.0766819685687553",NA,NA,NA,NA,NA,NA,"64.261971112999","Inf","1.6936720578379","1.6940382687754","2.68038175229622","2.68050382260873","55.3814942730749","55.3889177647457",NA,NA,"64.3274954983813","Inf","1.69548348888539","1.69585009149604","2.68288186760672","2.68300405177981","55.4531700275244","55.4606031268154","9","0","8","0","2","0","2","2","2","2","2","2"
