"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","RSS_reported","citransition1","citransition2","alpha","theta_J","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","V_cmax_pts","J_max_pts","V_TPU_pts","J_lower","J_upper","R_d_lower","R_d_upper","V_TPU_lower","V_TPU_upper","V_cmax_lower","V_cmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol mol^(-1)","micromol mol^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1.14508090773487e-29","1186.5","1330","0.36125","0.7","46.5609594310376","1.84164269972482e-15","144.922700025195","134.415035873633",NA,NA,NA,"1.3309278753535","5.29341357714298e-16","16","1","0",NA,NA,"1.3309278753535","1.3309278753535",NA,NA,"46.5609594310376","46.5609594310377","TRUE","17","4","13","6.13339353809337e-29","3.60787855181963e-30","1.89944164212003e-15","2.1720946179443e-15","-1094.2614483039"
"420","Inf","298.15","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","0.470512254953879","948.5","1330","0.36125","0.7","34.0684472928418","0.173424255791548","82.5199026387445","79.2225743471895","0.403148941925047",NA,NA,"0.136265268008179","0.0437196186101108","15","2","0","78.4324024210165","80.0127462733626","0.0505748155323621","0.221955720483996",NA,NA,"33.7285357514904","34.4083588341933","FALSE","17","4","13","1.64869829687071","0.0969822527571005","0.311419737263232","0.356122094109775","18.5790463947102"
"420","Inf","298.15","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","1","7","0.338741532058466","0","0.508650917810155","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","7.71601617792444","211","314","0.36125","0.7","87.4304932608249","2.44055945206973","79.9672926075538","76.8751824410305",NA,"2.91466434233418","0.0982107381886508","0.269817819003903","0.198374930599764","10","1","6",NA,NA,"-0.118997044971634","0.658632682979441","2.72217129548442","3.10715738918393","82.6469967347682","92.2139897868816","FALSE","17","4","13","65.4785562897267","3.85167978174863","1.96256968838017","2.24428430068177","81.1685692505431"
"420","Inf","298.15","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0.401586077315712","0","0.837078613257036","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","0.293218020212942","566","1330","0.36125","0.7","82.6755973243165","9.23401361391698e-15","189.489893608775","171.14824418032","0.175999693176646",NA,NA,"-0.953763799491091","1.63129685072629e-15","13","4","0","170.803284781694","171.493203578946","-0.953763799491094","-0.953763799491088",NA,NA,"82.6755973243165","82.6755973243165","TRUE","17","4","13","0.293218020212941","0.0172481188360554","0.131332093701636","0.150183994899831","-10.7769771764153"
"420","Inf","298.15","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0.0254961048844714","0","0.342176993817557","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","11.130270779895","314","566","0.36125","0.7","109.176772437502","9.34128522699321e-15","175.304352429988","159.705794446257","1.62249750024583","9.55673293848704","0.0951196260892191","1.11132525686653","9.85752052828627e-16","11","2","4","156.525699345776","162.885889546739","1.11132525686653","1.11132525686653","9.37029847135217","9.74316740562191","109.176772437502","109.176772437502","FALSE","17","4","13","13.5359807189109","0.796234159935936","0.892319539142754","1.02040643180552","54.3702567133559"
"420","Inf","298.15","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3","15","0","0.470844792352499","0","0.628227578070946","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","1.60503671225285","94","1330","0.36125","0.7","75.8958585581331","3.28758517446713","72.9195082591655","70.3585181924674","0.164918742666001",NA,NA,"-1.06692287445739","0.106238739339681","7","10","0","70.035277456842","70.6817589280928","-1.27515080356316","-0.858694945351613",NA,NA,"69.4521916161775","82.3395255000887","TRUE","17","4","13","1.60503671225285","0.0944139242501677","0.307268488866281","0.3513749599516","18.1227759899721"
"420","Inf","298.15","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0.295810954515221","0","0.637491794963134","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","0.446518676894371","157","1330","0.36125","0.7","23.2998296154558","1.03788879458415","27.6727434007485","27.3134650484157","0.0920626249652276",NA,NA,"1.301798765992","0.0627799408121388","9","8","0","27.1330223034839","27.4939077933476","1.17875008200021","1.4248474499838",NA,NA,"21.2655675780709","25.3340916528407","TRUE","17","4","13","0.446518676894371","0.0262658045231983","0.162067283938487","0.185331029593903","-3.62737556982257"
"420","Inf","298.15","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0.0368809094230163","0","0.0729940107453149","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","2.39916456765222","211","314","0.36125","0.7","51.0476097849944","1.55107487498578","53.6307960092612","52.2606183850633",NA,"2.6788488698632","0.0132499110770522","1.49149558147037","0.126075343265824","10","1","6",NA,NA,"1.24438790866936","1.73860325427138","2.65287904415218","2.70481869557423","48.0075030300223","54.0877165399665","FALSE","17","4","13","2.96071567649127","0.174159745675957","0.417324508836896","0.477228833716172","28.5316106490676"
