"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","RSS_reported","Ci_transition","Ci_transition2","Tcorrect","Rd_measured","GammaStar","Km","kminput","gstarinput","fitmethod","citransition","gmeso","fitTPU","alphag","Vcmax","Vcmax_err","Qin_avg","alpha","theta","Rd","Rd_err","ci_star","A_transition","Jmax","Jmax_err","J","J_err","TPU","TPU_err","J_lower","J_upper","Rd_lower","Rd_upper","TPU_lower","TPU_upper","Vcmax_lower","Vcmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","micromol mol^(-1)","micromol mol^(-1)","","","micromol mol^(-1)","micromol mol^(-1)","","","","micromol mol^(-1)","mol m^(-2) s^(-1)","","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0.102921696189342","0","0.356153268003836","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","0.0958475193115922","1328.99999982962",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","46.5609594310376","1.95433447389816e-15","1800","0.36125","0.7","1.3309278753535","5.61732231770955e-16","56.1239324122282","29.3115906814954","144.922700025195",NA,"134.415035873633",NA,NA,NA,NA,NA,"1.3309278753535","1.3309278753535",NA,NA,"46.5609594310376","46.5609594310377","FALSE","17","4","13","0.0958475193115922","0.00563808937127013","0.075087211769183","0.0858655117080875","-29.7856604630634"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0.32115387180562","0","0.535430860961787","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","0.24741244389297","36.9443729207454","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","34.4864528586434","7.72189723488746e-16","1800","0.36125","0.7","0.170653327753726","1.65641237701022e-16","40.1856606093017","-0.170653877996599",NA,NA,NA,NA,"6.08612647398924",NA,NA,NA,"0.170653327753726","0.170653327753727",NA,NA,"34.4864528586434","34.4864528586434","FALSE","17","4","13","0.24741244389297","0.0145536731701747","0.12063860563756","0.137955523460662","-13.6645915873762"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","1","7","0.338741532058466","0","0.508650917810155","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","52.0784450355826","78.5213875088679","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","87.4304932608249","2.44055945206974","1800","0.36125","0.7","0.269817819003903","0.198374930599764",NA,"4.92109936375899","79.9672926075538",NA,"76.8751824410305",NA,"2.91466434233418",NA,NA,NA,"-0.118997044971635","0.658632682979441",NA,NA,"82.6469967347682","92.2139897868816","FALSE","17","4","13","52.0784450355826","3.06343794326957","1.75026796327579","2.00150798986823","77.2760526638605"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0.401586077315712","0","0.837078613257036","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","0.286827001802773","506.355570788802",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","82.6755973243165","4.54086783473261e-15","1800","0.36125","0.7","-0.953763799491087","8.02197582554942e-16","29.5119285220741","35.2253028426746","189.489893608775",NA,"171.14824418032",NA,NA,NA,NA,NA,"-0.953763799491089","-0.953763799491086",NA,NA,"82.6755973243165","82.6755973243165","FALSE","17","4","13","0.286827001802773","0.0168721765766337","0.129892942751459","0.148538262825745","-11.1516091644301"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0.0254961048844714","0","0.342176993817557","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","3.96621759358745","259.479401756675","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","109.176772437502","9.16968158327128e-15","1800","0.36125","0.7","1.11132525686653","9.67643340808683e-16",NA,"26.4020752610999","183.709788137856",NA,"166.514246507972",NA,"9.68550212026651",NA,NA,NA,"1.11132525686653","1.11132525686653",NA,NA,"109.176772437502","109.176772437502","FALSE","17","4","13","3.96621759358745","0.23330691726985","0.483018547542276","0.552352841076416","33.5021024667799"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3","15","0","0.470844792352499","0","0.628227578070946","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","1.58475793033889","89.2992720799236",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","75.8958585581331","3.28758517446713","1800","0.36125","0.7","-1.06692287445739","0.106238739339681","27.9098988636562","6.65425192591886","72.9195082591655",NA,"70.3585181924674",NA,NA,NA,NA,NA,"-1.27515080356316","-0.858694945351613",NA,NA,"69.4521916161775","82.3395255000887","FALSE","17","4","13","1.58475793033889","0.0932210547258171","0.305321232025906","0.349148186562546","17.9066216755673"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0.295810954515221","0","0.637491794963134","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","0.441639772167718","150.360575997225",NA,"FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","23.2998296154558","1.03788879458415","1800","0.36125","0.7","1.301798765992","0.0627799408121388","75.5263331398456","2.11751787446397","27.6727434007485",NA,"27.3134650484157",NA,NA,NA,NA,NA,"1.17875008200021","1.4248474499838",NA,NA,"21.2655675780709","25.3340916528408","FALSE","17","4","13","0.441639772167718","0.0259788101275128","0.161179434567543","0.184315734995001","-3.81414903291247"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0.0368809094230163","0","0.0729940107453149","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","5.83911922829019","112.181969772527","400.000077544781","FALSE","FALSE","36.9443833189131","614.82560031725","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","51.0476097849944","1.55107487498578","1800","0.36125","0.7","1.49149558147037","0.126075343265824",NA,"3.73908574781174","53.6307960092612",NA,"52.2606183850633",NA,"2.6788488698632",NA,NA,NA,"1.24438790866936","1.73860325427138",NA,NA,"48.0075030300222","54.0877165399665","FALSE","17","4","13","5.83911922829019","0.343477601664129","0.586069621857445","0.670196253019057","40.0771427426757"
