"curve_identifier","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_RL","true_Vcmax","true_J","true_Tp","true_alpha_old","true_alpha_g","true_alpha_s","J","J_lower","J_upper","RL","RL_lower","RL_upper","Tp","Tp_lower","Tp_upper","Vcmax","Vcmax_lower","Vcmax_upper","alpha_old","alpha_old_lower","alpha_old_upper","alpha_g","alpha_g_lower","alpha_g_upper","alpha_s","alpha_s_lower","alpha_s_upper","AIC","RSS","RMSE","package","false_negative_Vcmax","false_negative_Tp","false_negative_J","false_positive_Vcmax","false_positive_Tp","false_positive_J","Vcmax_diff_rel","Tp_diff_rel","RL_diff_rel","J_diff_rel","Vcmax_diff_abs_upper","Tp_diff_abs_upper","RL_diff_abs_upper","J_diff_abs_upper","Vcmax_diff_abs_lower","Tp_diff_abs_lower","RL_diff_abs_lower","J_diff_abs_lower","Vcmax_diff_abs","Tp_diff_abs","RL_diff_abs","J_diff_abs","true_Vcmax_in_confidence_interval","true_Tp_in_confidence_interval","true_RL_in_confidence_interval","true_J_in_confidence_interval"
"Curve 1",17,0,0,1.60244125088677,46.7736513387645,145.547406748333,16.4606548431143,0.366166198687861,0,0,NA,135.20385305176,Inf,1.60415512612469,1.60415512612469,1.60415512612469,NA,7.39659740229008,Inf,46.8341867786944,46.8341867786944,46.8341867786944,NA,-7.16414111296967,Inf,NA,NA,NA,NA,NA,NA,-531.603717245171,1.29025300860956e-14,2.75494529529285e-08,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129422095982033,NA,0.106954013882034,NA,0.0605354399299571,Inf,0.00171387523792488,Inf,0.0605354399299571,-9.06405744082423,0.00171387523792488,-10.3435536965729,0.0605354399299571,NA,0.00171387523792488,NA,TRUE,TRUE,TRUE,TRUE
"Curve 2",14,0,3,0.809220046047121,35.0804832506692,125.950158981257,5.80910727549344,0.714740334481467,0,0,NA,87.7674898090119,Inf,0.809939895263549,0.809939895263549,0.810184297003981,5.81412042155556,5.81399823738246,5.81412042155556,35.1255614187109,35.1250113913691,35.1258669894564,0.71533006492408,0.715085924299079,0.71533006492408,0,NA,NA,0,NA,NA,-235.080839204862,4.85138832495253e-07,0.000168930691060191,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.128499278985485,0.086298045885094,0.0889559298418508,NA,0.0453837387871943,0.00501314606211967,0.00096425095685948,Inf,0.0445281406998959,0.0048909618890205,0.00071984921642787,-38.1826691722452,0.0450781680417336,0.00501314606211967,0.00071984921642787,NA,TRUE,TRUE,TRUE,TRUE
"Curve 3",8,0,9,2.27772794398945,95.9278383455239,124.681234126352,3.14690385617316,0.170914703460876,0,0,NA,102.242928851918,Inf,2.28013278554355,2.28013278554355,2.28019388597866,3.14984890482667,3.14984890482667,3.14984890482667,96.0530965300806,96.0495588943306,96.0535854432735,0.170895882717307,0.170895882717307,0.170895882717307,0,NA,NA,0,NA,NA,-257.294795702832,1.31332434819767e-07,8.78944670746644e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.130575427026171,0.093585593590263,0.105580719613596,NA,0.12574709774961,0.00294504865351453,0.00246594198921235,Inf,0.121720548806664,0.00294504865351453,0.00240484155410403,-22.438305274434,0.125258184556643,0.00294504865351453,0.00240484155410403,NA,TRUE,TRUE,TRUE,TRUE
"Curve 4",13,4,0,0.970993463299237,84.4920419288101,184.216428957321,17.5572359490581,0.0879026424675249,0,0,184.40426644904,184.40426644904,184.40426644904,0.972031825178541,0.972031825178541,0.972031825178541,NA,13.304727545724,Inf,84.6013939408551,84.6013939408551,84.6013939408551,NA,-19.2150777415237,Inf,NA,NA,NA,NA,NA,NA,-442.131609954623,2.49112216740864e-12,3.82800990180095e-07,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.12942285397382,NA,0.106938091609383,0.101965656799851,0.109352012045022,Inf,0.00103836187930406,0.187837491719563,0.109352012045022,-4.25250840333405,0.00103836187930406,0.187837491719563,0.109352012045022,NA,0.00103836187930406,0.187837491719563,TRUE,TRUE,TRUE,TRUE
"Curve 5",11,0,6,1.26797972631175,109.193462848081,188.570318754599,9.02404085695744,0.029626364329597,0,0,NA,160.578775262593,Inf,1.26898110038236,1.26879779907704,1.26940880342812,9.03173675602467,9.03149238767847,9.03185894019777,109.330645352308,109.328640793541,109.336422506616,0.0300265153308633,0.0297823747058632,0.0300875504871133,0,NA,NA,0,NA,NA,-191.794750419441,6.18990872078752e-06,0.00060341716721799,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.125632524740096,0.0852821833281003,0.0789739811946842,NA,0.142959658534338,0.00781808324033406,0.00142907711636742,Inf,0.135177945459887,0.00745153072103122,0.000818072765285116,-27.9915434920063,0.137182504227184,0.00769589906723311,0.00100137407060985,NA,TRUE,TRUE,TRUE,TRUE
"Curve 6",6,11,0,1.46516326073557,96.8063829514431,83.5909694038099,8.17190252667293,0.251907948475564,0,0,83.6762023441807,83.6762023441807,83.6762023441807,1.46673026889986,1.46673026889986,1.46673026889986,NA,4.12711712048417,Inf,96.9316715356874,96.9316715356874,96.9316715356874,NA,-3.81012225042543,Inf,NA,NA,NA,NA,NA,NA,-548.450934687232,4.78942629155747e-15,1.67848431129668e-08,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129421821603646,NA,0.10695109591438,0.101964292289879,0.125288584244359,Inf,0.00156700816429156,0.0852329403708438,0.125288584244359,-4.04478540618877,0.00156700816429156,0.0852329403708438,0.125288584244359,NA,0.00156700816429156,0.0852329403708438,TRUE,TRUE,TRUE,TRUE
"Curve 7",0,17,0,1.89063093741192,95.2503358495887,31.4785098014632,12.0353985546716,0.560209834094858,0,0,31.5106066886814,31.5106066886814,31.5106066886814,1.89265302550628,1.89265302550628,1.89265302550628,NA,1.80030677064225,Inf,NA,50.9696750998407,Inf,NA,-8.75802356959227,Inf,NA,NA,NA,NA,NA,NA,-587.507738043334,4.81404026840304e-16,5.32145505776217e-09,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.106953083986428,0.10196444310926,Inf,Inf,0.00202208809436355,0.032096887218156,-44.280660749748,-10.2350917840293,0.00202208809436355,0.032096887218156,NA,NA,0.00202208809436355,0.032096887218156,TRUE,TRUE,TRUE,TRUE
"Curve 8",11,0,6,1.71116492936853,55.3990659936098,136.742220030655,2.68600964946672,0.736351215501782,0,0,NA,81.4736388228525,Inf,1.71302170189787,1.71302170189787,1.71308280233298,2.68853172165134,2.68853172165134,2.68853172165134,55.471543346471,55.4702338647524,55.4716044606201,0.736343369103242,0.736343369103242,0.736343369103242,0,NA,NA,0,NA,NA,-273.184022439875,5.15767702844216e-08,5.50811007859275e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.130827752347966,0.0938966166827282,0.108509267427658,NA,0.072538467010304,0.00252207218462086,0.00191787296444512,Inf,0.071167871142606,0.00252207218462086,0.0018567725293368,-55.2685812078027,0.0724773528612062,0.00252207218462086,0.0018567725293368,NA,TRUE,TRUE,TRUE,TRUE
"Curve 9",11,6,0,1.11958950396627,70.4054447393864,111.906954713701,14.53982116675,0.636159118983196,0,0,112.021059457779,112.021059457779,112.021059457779,1.12078626886994,1.12078626886994,1.12078626886994,NA,6.18989269407961,Inf,70.4965628134526,70.4965628134526,70.4965628134526,NA,-2.82689716202364,Inf,NA,NA,NA,NA,NA,NA,-429.910548150221,5.11214594976831e-12,5.4837438637616e-07,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129419073202993,NA,0.10689318713906,0.101963943500526,0.0911180740661592,Inf,0.00119676490366394,0.114104744077437,0.0911180740661592,-8.34992847267043,0.00119676490366394,0.114104744077437,0.0911180740661592,NA,0.00119676490366394,0.114104744077437,TRUE,TRUE,TRUE,TRUE
"Curve 10",16,0,1,2.0313762798789,51.2314807501389,163.027261878853,10.8382118897513,0.485949588617077,0,0,NA,147.471964502738,Inf,2.03468123706396,2.0341924335831,2.03621268229067,9.98995624671729,9.98652699550168,9.9903227992366,51.3045929331991,51.2953052578327,51.3056929878829,1.37184811853637,1.36830352025504,1.37217793264161,0,NA,NA,0,NA,NA,-152.954374374238,6.08035601896677e-05,0.00189121125503126,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.142709486412843,-7.82652758280248,0.162695469953219,NA,0.074212237744014,-0.847889090514657,0.00483640241177108,Inf,0.0638245076938304,-0.851684894249576,0.00281615370419974,-15.5552973761143,0.0731121830602177,-0.84825564303396,0.00330495718506718,NA,TRUE,FALSE,TRUE,TRUE
