"parameter","curve_type","n_curves","package","n_estimates","error_percent","n_good_CI","good_CI_percent","RMSE"
"J","true_n_Aj_limiting > 0",120,"PhotoGEA",120,0,120,100,0.0967070274787925
"J","true_n_Aj_limiting > 0",120,"plantecophys",120,0,0,0,0.827781111088592
"J","true_n_Aj_limiting > 0",120,"photosynthesis",120,0,114,95,1.54131390130101
"J","true_n_Aj_limiting > 0",120,"msuRACiFit",120,0,0,0,5.97323469081092
"J","true_n_Aj_limiting == 0",80,"PhotoGEA",0,0,80,100,NA
"J","true_n_Aj_limiting == 0",80,"plantecophys",61,76.25,0,0,NA
"J","true_n_Aj_limiting == 0",80,"photosynthesis",80,100,0,0,NA
"J","true_n_Aj_limiting == 0",80,"msuRACiFit",80,100,0,0,NA
"Tp","true_n_Ap_limiting > 0",68,"PhotoGEA",68,0,65,95.5882352941177,0.119670137772014
"Tp","true_n_Ap_limiting > 0",68,"plantecophys",67,1.47058823529412,0,0,0.528183492134158
"Tp","true_n_Ap_limiting > 0",68,"photosynthesis",53,22.0588235294118,6,8.82352941176471,0.426086013084709
"Tp","true_n_Ap_limiting > 0",68,"msuRACiFit",68,0,0,0,0.90256697834092
"Tp","true_n_Ap_limiting == 0",132,"PhotoGEA",0,0,132,100,NA
"Tp","true_n_Ap_limiting == 0",132,"plantecophys",30,22.7272727272727,0,0,NA
"Tp","true_n_Ap_limiting == 0",132,"photosynthesis",0,0,0,0,NA
"Tp","true_n_Ap_limiting == 0",132,"msuRACiFit",132,100,0,0,NA
"Vcmax","true_n_Ac_limiting > 0",174,"PhotoGEA",174,0,174,100,0.0940260672071614
"Vcmax","true_n_Ac_limiting > 0",174,"plantecophys",174,0,168,96.551724137931,0.154803078131032
"Vcmax","true_n_Ac_limiting > 0",174,"photosynthesis",174,0,166,95.4022988505747,1.4232489300421
"Vcmax","true_n_Ac_limiting > 0",174,"msuRACiFit",174,0,0,0,2.09398468880218
"Vcmax","true_n_Ac_limiting == 0",26,"PhotoGEA",0,0,26,100,NA
"Vcmax","true_n_Ac_limiting == 0",26,"plantecophys",26,100,1,3.84615384615385,NA
"Vcmax","true_n_Ac_limiting == 0",26,"photosynthesis",26,100,1,3.84615384615385,NA
"Vcmax","true_n_Ac_limiting == 0",26,"msuRACiFit",26,100,0,0,NA
"RL","all",200,"PhotoGEA",200,0,200,100,0.00173404566796012
"RL","all",200,"plantecophys",200,0,194,97,0.00770904591245277
"RL","all",200,"photosynthesis",200,0,200,100,0.0413547687571677
"RL","all",200,"msuRACiFit",200,0,0,0,1.47385936278718
