"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","VcMax","J","TPU","gm","rL","ag","as","J_lower","J_upper","rL_lower","rL_upper","TPU_lower","TPU_upper","VcMax_lower","VcMax_upper","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","fit_c3_aci_msu","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol m^(-2) s^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","46.7426341514664","140.635799025145","9.49131017498118","Inf","1.61885049775163","0.00257988518219287","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","3.72450326655179","0.219088427444223","0.468068827678391","0.581885904667025","36.4331526385324"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","35.0204565153297","93.0312556544286","5.63984937596516","Inf","0.812780214124383","0","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","1.46200858220136","0.086000504835374","0.293258426708209","0.364568061010855","20.5360742153183"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","8","0","9","0","0.170914703460876","0","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","93.1112452449231","93.4010943724617","3.47359583866741","Inf","3.24098836589559","0.209818959209202","0",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","5.81144289688493","0.341849582169702","0.584679042013396","0.726851422662089","43.9963743619108"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0","0.0879026424675249","0","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","87.133836290587","196.071482229541","14.9271347290195","Inf","3.79221001283785","0.566977998529278","0.75",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.0505388961069234","0.00297287624158373","0.0545240886359757","0.0677823361992592","-36.6659210468881"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0.029626364329597","0","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","115.264312773964","141.716049295928","11.1582487258566","Inf","7.65543979781953","0.971998227833378","0",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.058723219243563","0.00345430701432723","0.0587733529273874","0.0730648648577929","-34.1143579533209"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0.251907948475564","0","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","96.4351232362455","83.6752099614394","6.42198251132688","Inf","1.46645954463384","0","4.84851457559691e-05",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.5474232218118","0.0322013659889294","0.179447390588243","0.223082378141879","3.83622123860181"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0.560209834094858","0","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","50.6959090125724","31.5103382970875","2.41839405904646","Inf","1.89258833414146","0","2.90082673915914e-05",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","0.000320634466756565","1.88608509856803e-05","0.00434290812540172","0.00539894321946068","-122.689266600985"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0.736351215501782","0","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","48.6380923996037","64.8271482955787","3.28484408551958","Inf","2.63216816348787","0.575629121951847","0.12594219633086",NA,NA,NA,NA,NA,NA,NA,NA,"17","6","11","10.1332697822159","0.596074693071526","0.772058736801499","0.959794948849916","53.4482920999566"
