"Ci","Cc","Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Pci","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","A","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","PCc","gmc_at_25","gmc_tl","drawdown_cm","drawdown_cs","alpha_g","alpha_old","alpha_s","alpha_t","Gamma_star_agt","J_at_25","RL_at_25","Tp_at_25","Vcmax_at_25","J_tl","RL_tl","Tp_tl","Vcmax_tl","Ac","Aj","Ap","Ad","A_fit","Wc","Wj","Wp","Wd","Vc","atp_use","nadph_use","curvature_cj","curvature_cjp","c3_assimilation_msg","c3_optional_arguments","Ca_atmospheric","A_residuals","Ac_limiting","Aj_limiting","Ap_limiting","limiting_process"
"NA","apply_gm","NA","NA","NA","NA","NA","NA","NA","","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","","NA","NA","NA","","","","","","","","apply_gm","apply_gm","apply_gm","apply_gm","apply_gm","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","calculate_residuals","identify_c3_limits","identify_c3_limits","identify_c3_limits","identify_c3_limits"
"micromol mol^(-1)","micromol mol^(-1)","micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","Pa","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","micromol m^(-2) s^(-1)","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","microbar","mol m^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol mol^(-1)","micromol mol^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","","","micromol mol^(-1)","micromol m^(-2) s^(-1)","","","",""
"25","25","420","Inf","25","1","21","1800","Curve 1","2.5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-2.47846441609301","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","25","Inf","Inf","0","395",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","-2.47846443640694",NA,NA,"-1.60415512612469","-2.47846443640694","1.82995908398602",NA,NA,"0","1.82995908398602","4","8","1","1","","",NA,"2.03139283172504e-08","TRUE","FALSE","FALSE","Ac"
"33","33","420","Inf","25","1","21","1800","Curve 1","3.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.88931207696453","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","33","Inf","Inf","0","387",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","-1.88931209583117",NA,NA,"-1.60415512612469","-1.88931209583117","2.38571640722449",NA,NA,"0","2.38571640722449","4","8","1","1","","",NA,"1.88666313682972e-08","TRUE","FALSE","FALSE","Ac"
"41","41","420","Inf","25","1","21","1800","Curve 1","4.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.31453312829458","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","41","Inf","Inf","0","379",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","-1.31453314574922",NA,NA,"Inf","-1.31453314574922","2.92791506918545",NA,NA,"Inf","2.92791506918545","4","8","1","1","","",NA,"1.745464350833e-08","TRUE","FALSE","FALSE","Ac"
"47","47","420","Inf","25","1","21","1800","Curve 1","4.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.892567903664401","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","47","Inf","Inf","0","373",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","-0.892567920082455",NA,NA,"Inf","-0.892567920082455","3.32596197176942",NA,NA,"Inf","3.32596197176942","4","8","1","1","","",NA,"1.64180543604786e-08","TRUE","FALSE","FALSE","Ac"
"53","53","420","Inf","25","1","21","1800","Curve 1","5.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.478184872189374","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","53","Inf","Inf","0","367",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","-0.478184887589465",NA,NA,"Inf","-0.478184887589465","3.71685646386067",NA,NA,"Inf","3.71685646386067","4","8","1","1","","",NA,"1.54000912022667e-08","TRUE","FALSE","FALSE","Ac"
"68","68","420","Inf","25","1","21","1800","Curve 1","6.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.525912288344081","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","68","Inf","Inf","0","352",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","0.52591227541063",NA,NA,"Inf","0.52591227541063","4.66403822509226",NA,NA,"Inf","4.66403822509226","4","8","1","1","","",NA,"1.29334509768597e-08","TRUE","FALSE","FALSE","Ac"
"81","81","420","Inf","25","1","21","1800","Curve 1","8.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","1.36111230140835","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","81","Inf","Inf","0","339",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","1.36111229052663",NA,NA,"Inf","1.36111229052663","5.45189646276974",NA,NA,"Inf","5.45189646276974","4","8","1","1","","",NA,"1.08817184152343e-08","TRUE","FALSE","FALSE","Ac"
"107","107","420","Inf","25","1","21","1800","Curve 1","10.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","2.94126116300299","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","107","Inf","Inf","0","313",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","2.94126115600303",NA,NA,"Inf","2.94126115600303","6.94247749472699",NA,NA,"Inf","6.94247749472699","4","8","1","1","","",NA,"6.99996371977818e-09","TRUE","FALSE","FALSE","Ac"
"132","132","420","Inf","25","1","21","1800","Curve 1","13.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","4.35687848968264","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","132","Inf","Inf","0","288",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","4.35687848616025",NA,NA,"Inf","4.35687848616025","8.27785315897248",NA,NA,"Inf","8.27785315897248","4","8","1","1","","",NA,"3.5223939320872e-09","TRUE","FALSE","FALSE","Ac"
"182","182","420","Inf","25","1","21","1800","Curve 1","18.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6.92162747928138","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","182","Inf","Inf","0","238",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","6.92162748205948",NA,NA,"Inf","6.92162748205948","10.6972240730327",NA,NA,"Inf","10.6972240730327","4","8","1","1","","",NA,"-2.77810574544901e-09","TRUE","FALSE","FALSE","Ac"
"240","240","420","Inf","25","1","21","1800","Curve 1","24","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9.52085641627947","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","240","Inf","Inf","0","180",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","9.52085642544278",NA,NA,"Inf","9.52085642544278","13.1491205021411",NA,NA,"Inf","13.1491205021411","4","8","1","1","","",NA,"-9.16330655797992e-09","TRUE","FALSE","FALSE","Ac"
"388","388","420","Inf","25","1","21","1800","Curve 1","38.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14.790923234438","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","388","Inf","Inf","0","32",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","14.7909232565477",NA,NA,"Inf","14.7909232565477","18.1204632833313",NA,NA,"Inf","18.1204632833313","4","8","1","1","","",NA,"-2.21096208008476e-08","TRUE","FALSE","FALSE","Ac"
"473","473","420","Inf","25","1","21","1800","Curve 1","47.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17.1693598207358","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","473","Inf","Inf","0","-53",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","17.1693598486883",NA,NA,"Inf","17.1693598486883","20.3640825697262",NA,NA,"Inf","20.3640825697262","4","8","1","1","","",NA,"-2.79524350332849e-08","TRUE","FALSE","FALSE","Ac"
"659","659","420","Inf","25","1","21","1800","Curve 1","65.9","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","21.2666906809419","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","659","Inf","Inf","0","-239",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","21.2666907189597",NA,NA,"Inf","21.2666907189597","24.2291637720838",NA,NA,"Inf","24.2291637720838","4","8","1","1","","",NA,"-3.8017834214088e-08","TRUE","FALSE","FALSE","Ac"
"853","853","420","Inf","25","1","21","1800","Curve 1","85.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","24.4338844733756","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","853","Inf","Inf","0","-433",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","24.4338845191739",NA,NA,"Inf","24.4338845191739","27.2168310142512",NA,NA,"Inf","27.2168310142512","4","8","1","1","","",NA,"-4.57982878288021e-08","TRUE","FALSE","FALSE","Ac"
"1044","1044","420","Inf","25","1","21","1800","Curve 1","104.4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","26.8283882065958","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1044","Inf","Inf","0","-624",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","26.8283882582764",NA,NA,"Inf","26.8283882582764","29.47560671092",NA,NA,"Inf","29.47560671092","4","8","1","1","","",NA,"-5.16805656047836e-08","TRUE","FALSE","FALSE","Ac"
"1329","1329","420","Inf","25","1","21","1800","Curve 1","132.9","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","29.5264020374838","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1329","Inf","Inf","0","-909",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675",NA,"1.60415512612469",NA,"46.8341867786944","29.5264020957923",NA,NA,"Inf","29.5264020957923","32.0206885940417",NA,NA,"Inf","32.0206885940417","4","8","1","1","","",NA,"-5.83084407423939e-08","TRUE","FALSE","FALSE","Ac"
"25","25","420","Inf","25","1","21","1800","Curve 2","2.5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.46582208618282","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","25","Inf","Inf","0","395","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","-1.4656704094366",NA,"-Inf","-0.809939895263549","-1.4656704094366","1.37246623928827",NA,"Inf","0","1.37246623928827","4","8","1","1","","",NA,"-0.000151676746221074","TRUE","FALSE","FALSE","Ac"
"33","33","420","Inf","25","1","21","1800","Curve 2","3.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-1.0239547490532","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","33","Inf","Inf","0","387","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","-1.02380714357787",NA,"-Inf","-0.809939895263549","-1.02380714357787","1.78928329823615",NA,"Inf","0","1.78928329823615","4","8","1","1","","",NA,"-0.000147605475331325","TRUE","FALSE","FALSE","Ac"
"41","41","420","Inf","25","1","21","1800","Curve 2","4.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.592867529977303","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","41","Inf","Inf","0","379","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","-0.592723896447165",NA,"Inf","Inf","-0.592723896447165","2.19593138399979",NA,"Inf","Inf","2.19593138399979","4","8","1","1","","",NA,"-0.000143633530137466","TRUE","FALSE","FALSE","Ac"
"47","47","420","Inf","25","1","21","1800","Curve 2","4.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","-0.276391403540368","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","47","Inf","Inf","0","373","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","-0.276250685953394",NA,"Inf","Inf","-0.276250685953394","2.494465892356",NA,"Inf","Inf","2.494465892356","4","8","1","1","","",NA,"-0.000140717586973871","TRUE","FALSE","FALSE","Ac"
"53","53","420","Inf","25","1","21","1800","Curve 2","5.3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.0343980383558136","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","53","Inf","Inf","0","367","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","0.0345358923955158",NA,"Inf","Inf","0.0345358923955158","2.78763610485627",NA,"Inf","Inf","2.78763610485627","4","8","1","1","","",NA,"-0.000137854039702234","TRUE","FALSE","FALSE","Ac"
"68","68","420","Inf","25","1","21","1800","Curve 2","6.8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0.787476162768686","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","68","Inf","Inf","0","352","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","0.787607078108041",NA,"Inf","Inf","0.787607078108041","3.49802083484069",NA,"Inf","Inf","3.49802083484069","4","8","1","1","","",NA,"-0.000130915339354831","TRUE","FALSE","FALSE","Ac"
"81","81","420","Inf","25","1","21","1800","Curve 2","8.1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","1.41388054281283","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","81","Inf","Inf","0","339","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","1.41400568659656",NA,"Inf","Inf","1.41400568659656","4.08891318976821",NA,"Inf","Inf","4.08891318976821","4","8","1","1","","",NA,"-0.000125143783723969","TRUE","FALSE","FALSE","Ac"
"107","107","420","Inf","25","1","21","1800","Curve 2","10.7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","2.5990004572548","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","107","Inf","Inf","0","313","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","2.59911468159777",NA,"Inf","Inf","2.59911468159777","5.20684646007318",NA,"Inf","Inf","5.20684646007318","4","8","1","1","","",NA,"-0.000114224342969482","TRUE","FALSE","FALSE","Ac"
"132","132","420","Inf","25","1","21","1800","Curve 2","13.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","3.66072085958707","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","132","Inf","Inf","0","288","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","3.66082530146593",NA,"104.303828840273","Inf","3.66082530146593","6.20837596528592",NA,"145.967360557364","Inf","6.20837596528592","4","8","1","1","","",NA,"-0.000104441878858719","TRUE","FALSE","FALSE","Ac"
"182","182","420","Inf","25","1","21","1800","Curve 2","18.2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","5.58429602202522","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","182","Inf","Inf","0","238","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","5.58438274049503",NA,"37.6572075049892","Inf","5.58438274049503","8.02290008712085",NA,"48.2643898046234","Inf","8.02290008712085","4","8","1","1","","",NA,"-8.67184698050139e-05","TRUE","FALSE","FALSE","Ac"
"240","240","420","Inf","25","1","21","1800","Curve 2","24","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","7.53373132543177","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","240","Inf","Inf","0","180","0","0.71533006492408","0","0","36.9443833189131",NA,"0.80907456671125","5.80870237775032","35.0801600266192",NA,"0.809939895263549","5.81412042155556","35.1255614187109","7.53380008222273",NA,"27.8050238969373","Inf","7.53380008222273","9.86181829061035",NA,"33.8212329330157","Inf","9.86181829061035","4","8","1","1","","",NA,"-6.8756790958524e-05","TRUE","FALSE","FALSE","Ac"
