"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","RSS_reported","citransition1","citransition2","alpha","theta_J","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","V_cmax_pts","J_max_pts","V_TPU_pts","J_lower","J_upper","R_d_lower","R_d_upper","V_TPU_lower","V_TPU_upper","V_cmax_lower","V_cmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol mol^(-1)","micromol mol^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0.366166198687861","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1.60730409438781e-29","1186.5","1330","0.36125","0.7","46.8341866636427","1.98022082661419e-15","145.851433760179","135.203805021027",NA,NA,NA,"1.60415510795857","5.6917271797114e-16","16","1","0",NA,NA,"1.60415510795857","1.60415510795857",NA,NA,"46.8341866636427","46.8341866636427","TRUE","17","4","13","3.30458763577739e-29","1.94387507986906e-30","1.39422920636065e-15","1.5943620947136e-15","-1104.77486873901"
"420","Inf","298.15","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0","0.714740334481467","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","0.320522479940034","948.5","1330","0.36125","0.7","34.9687243313492","0.0652036356060494","85.8702709702644","82.2931525724564","0.419540974112173",NA,NA,"0.797156389995851","0.0164375973111602","15","2","0","81.4708522631966","83.1154528817163","0.764938699265977","0.829374080725725",NA,NA,"34.8409252055613","35.096523457137","FALSE","17","4","13","1.72490489336621","0.101464993727424","0.318535702437614","0.364259511608689","19.3472058296128"
"420","Inf","298.15","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","8","0","9","0","0.170914703460876","0","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","4.38554332489421","157","314","0.36125","0.7","94.0905472612517","0.806993976805898","72.0665975852198","69.566365646698","1.51514959040182","3.24047078644577","0.0209940130711398","2.2501846781768","0.0488135476208952","9","2","6","66.5966724495105","72.5360588438856","2.15451012483984","2.34585923151375","3.19932252082633","3.2816190520652","92.5088390667121","95.6722554557913","FALSE","17","4","13","22.3750034381823","1.31617667283425","1.14724743313474","1.31192763162813","62.9143383829888"
"420","Inf","298.15","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0","0.0879026424675249","0","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","4.02590232598886e-28","566","1330","0.36125","0.7","84.6013930925826","1.23952225101371e-14","206.303101223379","184.404264283186","6.9283216324525e-15",NA,NA,"0.97203196877507","2.18976149378461e-15","13","4","0","184.404264283186","184.404264283186","0.972031968775066","0.972031968775075",NA,NA,"84.6013930925826","84.6013930925827","TRUE","17","4","13","5.502428073433e-28","3.23672239613706e-29","5.68921997828969e-15","6.50587194737481e-15","-1056.96300011897"
"420","Inf","298.15","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0.029626364329597","0","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","6.18796858661442","314","566","0.36125","0.7","109.334783047785","7.65278482720663e-15","151.875360428371","140.29608400557","0.872194834167863","9.06670382696681","0.00532753454571002","1.26933586714976","8.0757071109185e-16","11","2","4","138.586582130601","142.005585880539","1.26933586714976","1.26933586714976","9.05626185925722","9.0771457946764","109.334783047785","109.334783047785","FALSE","17","4","13","11.2688197871436","0.662871752184916","0.814169363329839","0.931038286709379","51.2539564958188"
"420","Inf","298.15","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0.251907948475564","0","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","2.19512872829391e-28","74.5","1330","0.36125","0.7","96.9316715631833","6.56740328316498e-15","87.3835960821865","83.6762025019988","1.98018481384646e-15",NA,NA,"1.46673029504299","1.54047015875864e-16","6","11","0","83.6762025019988","83.6762025019988","1.46673029504299","1.46673029504299",NA,NA,"96.9316715631833","96.9316715631833","TRUE","17","4","13","3.55973483480982e-29","2.09396166753519e-30","1.44705275216047e-15","1.65476813035492e-15","-1103.5105045888"
"420","Inf","298.15","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0.560209834094858","0","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","0.00164619847019911","44","1330","0.36125","0.7","49.4890648913953","1.78509449866703","32.0787378681701","31.5946766055911","0.00300943509857319",NA,NA,"1.90764388330266","0.021217220916681","3","14","0","31.5887781127979","31.6005750983843","1.86605813030597","1.94922963629936",NA,NA,"45.9902796740079","52.9878501087827","FALSE","17","4","13","0.00168114510692571","9.88908886426889e-05","0.00994438980745872","0.0113718448098319","-98.5214785303798"
"420","Inf","298.15","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0.736351215501782","0","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","1.57146294908209","314","566","0.36125","0.7","55.4707644897051","3.6790648338938e-15","53.7880030555967","52.4096557863488","0.68994915071546","2.96929071845133","0.0481421349005183","1.71299506954596","3.88238408781334e-16","11","2","4","51.0573554509465","53.7619561217511","1.71299506954596","1.71299506954596","2.87493213404631","3.06364930285634","55.4707644897051","55.4707644897052","FALSE","17","4","13","33.0697600212511","1.94528000125007","1.39473294979722","1.59493814737199","69.5558108747131"
