"curve_identifier","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_RL","true_Vcmax","true_J","true_Tp","true_alpha_old","true_alpha_g","true_alpha_s","J","J_lower","J_upper","RL","RL_lower","RL_upper","Tp","Tp_lower","Tp_upper","Vcmax","Vcmax_lower","Vcmax_upper","alpha_old","alpha_old_lower","alpha_old_upper","alpha_g","alpha_g_lower","alpha_g_upper","alpha_s","alpha_s_lower","alpha_s_upper","AIC","RSS","RMSE","package","false_negative_Vcmax","false_negative_Tp","false_negative_J","false_positive_Vcmax","false_positive_Tp","false_positive_J","Vcmax_diff_rel","Tp_diff_rel","RL_diff_rel","J_diff_rel","Vcmax_diff_abs_upper","Tp_diff_abs_upper","RL_diff_abs_upper","J_diff_abs_upper","Vcmax_diff_abs_lower","Tp_diff_abs_lower","RL_diff_abs_lower","J_diff_abs_lower","Vcmax_diff_abs","Tp_diff_abs","RL_diff_abs","J_diff_abs","true_Vcmax_in_confidence_interval","true_Tp_in_confidence_interval","true_RL_in_confidence_interval","true_J_in_confidence_interval"
"Curve 1",17,0,0,1.60244125088677,46.7736513387645,145.547406748333,16.4606548431143,0,0,0,NA,135.20385305176,Inf,1.60415512612469,1.60415512612469,1.60415512612469,NA,7.39659740229008,Inf,46.8341867786944,46.8341867786944,46.8341867786944,NA,-7.16414111296967,Inf,NA,NA,NA,NA,NA,NA,-531.603717245171,1.29025300860956e-14,2.75494529529285e-08,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129422095982033,NA,0.106954013882034,NA,0.0605354399299571,Inf,0.00171387523792488,Inf,0.0605354399299571,-9.06405744082423,0.00171387523792488,-10.3435536965729,0.0605354399299571,NA,0.00171387523792488,NA,TRUE,TRUE,TRUE,TRUE
"Curve 2",14,0,3,0.809220046047121,35.0804832506692,125.950158981257,5.80910727549344,0,0,0,NA,80.8374160058677,Inf,0.810112216742781,0.810051116307673,0.810112216742781,5.81433002924935,5.81433002924935,5.81433002924935,35.1257755380423,35.1257144238932,35.1262033370859,0.000316733243838499,0.000255698087588499,0.000316733243838499,0,NA,NA,0,NA,NA,-268.556728914827,6.77121153006107e-08,6.31115330658215e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129109644954022,0.089906305878316,0.110250691393263,NA,0.0457200864167433,0.00522275375590464,0.000892170695659833,Inf,0.0452311732240034,0.00522275375590464,0.000831070260551958,-45.1127429753894,0.0452922873730941,0.00522275375590464,0.000892170695659833,NA,TRUE,TRUE,TRUE,TRUE
"Curve 3",8,0,9,2.27772794398945,95.9278383455239,124.681234126352,3.14690385617316,0,0,0,NA,96.2813780127932,Inf,2.28013438603202,2.28013438603202,2.28013438603202,3.14982358473383,3.14982358473383,3.14982358473383,96.0515505678968,96.0513061113003,96.0519172527915,2.44665414918102e-07,-1e-06,2.44665414918102e-07,0,NA,NA,0,NA,NA,-307.928488351341,6.6810774563112e-09,1.98243425175616e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.128963838346131,0.092780990272107,0.105650986498268,NA,0.124078907267588,0.00291972856066858,0.00240644204257157,Inf,0.123467765776368,0.00291972856066858,0.00240644204257157,-28.3998561135586,0.123712222372859,0.00291972856066858,0.00240644204257157,NA,TRUE,TRUE,TRUE,TRUE
"Curve 4",13,4,0,0.970993463299237,84.4920419288101,184.216428957321,17.5572359490581,0,0,0,184.40426644904,184.40426644904,184.40426644904,0.972031825178541,0.972031825178541,0.972031825178541,NA,13.304727545724,Inf,84.6013939408551,84.6013939408551,84.6013939408551,NA,-19.2150777415237,Inf,NA,NA,NA,NA,NA,NA,-442.131609954623,2.49112216740864e-12,3.82800990180095e-07,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.12942285397382,NA,0.106938091609383,0.101965656799851,0.109352012045022,Inf,0.00103836187930406,0.187837491719563,0.109352012045022,-4.25250840333405,0.00103836187930406,0.187837491719563,0.109352012045022,NA,0.00103836187930406,0.187837491719563,TRUE,TRUE,TRUE,TRUE
"Curve 5",11,0,6,1.26797972631175,109.193462848081,188.570318754599,9.02404085695744,0,0,0,NA,160.585502220609,Inf,1.26945752662718,1.26915202445164,1.26951862706229,9.0321417061771,9.0321417061771,9.03244716660985,109.336829917631,109.333299223114,109.337807744017,0.0001359949376104,0.0001359949376104,0.0002580652501104,0,NA,NA,0,NA,NA,-212.557229545799,1.82503294476845e-06,0.000327650544183932,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.131296385159133,0.0897696425367655,0.116547629647869,NA,0.144344895935561,0.00840630965241473,0.00153890075053997,Inf,0.13983637503263,0.00810084921966236,0.00117229813989073,-27.9848165339907,0.143367069549612,0.00810084921966236,0.00147780031543188,NA,TRUE,TRUE,TRUE,TRUE
"Curve 6",6,11,0,1.46516326073557,96.8063829514431,83.5909694038099,8.17190252667293,0,0,0,83.6762023441807,83.6762023441807,83.6762023441807,1.46673026889986,1.46673026889986,1.46673026889986,NA,4.12711712048417,Inf,96.9316715356874,96.9316715356874,96.9316715356874,NA,-3.81012225042543,Inf,NA,NA,NA,NA,NA,NA,-548.450934687232,4.78942629155747e-15,1.67848431129668e-08,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129421821603646,NA,0.10695109591438,0.101964292289879,0.125288584244359,Inf,0.00156700816429156,0.0852329403708438,0.125288584244359,-4.04478540618877,0.00156700816429156,0.0852329403708438,0.125288584244359,NA,0.00156700816429156,0.0852329403708438,TRUE,TRUE,TRUE,TRUE
"Curve 7",0,17,0,1.89063093741192,95.2503358495887,31.4785098014632,12.0353985546716,0,0,0,31.5106066886814,31.5106066886814,31.5106066886814,1.89265302550628,1.89265302550628,1.89265302550628,NA,1.80030677064225,Inf,NA,50.9696750998407,Inf,NA,-8.75802356959227,Inf,NA,NA,NA,NA,NA,NA,-587.507738043334,4.81404026840304e-16,5.32145505776217e-09,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0.106953083986428,0.10196444310926,Inf,Inf,0.00202208809436355,0.032096887218156,-44.280660749748,-10.2350917840293,0.00202208809436355,0.032096887218156,NA,NA,0.00202208809436355,0.032096887218156,TRUE,TRUE,TRUE,TRUE
"Curve 8",9,0,8,1.71116492936853,55.3990659936098,136.742220030655,2.68600964946672,0,0,0,NA,61.1690824821709,Inf,1.71298858123785,1.71298858123785,1.71298858123785,2.68849522247924,2.68849522247924,2.68849522247924,55.4711962521135,55.4700961974297,55.4713184804117,1.55146490034266e-05,1.55146490034266e-05,1.55146490034266e-05,0,NA,NA,0,NA,NA,-292.33682625891,1.67171621280804e-08,3.13586109086863e-05,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.130201217673953,0.0925377543975147,0.106573705317326,NA,0.0722524868018724,0.00248557301251706,0.00182365186931865,Inf,0.0710302038198805,0.00248557301251706,0.00182365186931865,-75.5731375484842,0.0721302585036767,0.00248557301251706,0.00182365186931865,NA,TRUE,TRUE,TRUE,TRUE
"Curve 9",11,6,0,1.11958950396627,70.4054447393864,111.906954713701,14.53982116675,0,0,0,112.021059457779,112.021059457779,112.021059457779,1.12078626886994,1.12078626886994,1.12078626886994,NA,6.18989269407961,Inf,70.4965628134526,70.4965628134526,70.4965628134526,NA,-2.82689716202364,Inf,NA,NA,NA,NA,NA,NA,-429.910548150221,5.11214594976831e-12,5.4837438637616e-07,"PhotoGEA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.129419073202993,NA,0.10689318713906,0.101963943500526,0.0911180740661592,Inf,0.00119676490366394,0.114104744077437,0.0911180740661592,-8.34992847267043,0.00119676490366394,0.114104744077437,0.0911180740661592,NA,0.00119676490366394,0.114104744077437,TRUE,TRUE,TRUE,TRUE
"Curve 10",16,0,1,2.0313762798789,51.2314807501389,163.027261878853,10.8382118897513,0,0,0,141.346743417205,141.346743417205,141.346743417205,2.03354857712798,2.03354857712798,2.03354857712798,NA,4.06941286192709,Inf,51.2977843656951,51.2977843656951,51.2977843656951,NA,-8.70455297078746,Inf,NA,NA,NA,NA,NA,NA,-457.426891453621,1.01309584670636e-12,2.44118564094721e-07,"PhotoGEA",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.129419674359276,NA,0.106937216438154,-13.2987073522455,0.0663036155562651,Inf,0.00217229724908741,-21.6805184616476,0.0663036155562651,-6.76879902782417,0.00217229724908741,-21.6805184616476,0.0663036155562651,NA,0.00217229724908741,-21.6805184616476,TRUE,TRUE,TRUE,FALSE
