"parameter","curve_type","n_curves","package","n_estimates","error_percent","n_good_CI","good_CI_percent","RMSE"
"J","true_n_Aj_limiting > 0",115,"PhotoGEA",115,0,115,100,0.0921632453958042
"J","true_n_Aj_limiting > 0",115,"plantecophys",115,0,0,0,2.69347464547497
"J","true_n_Aj_limiting > 0",115,"photosynthesis",115,0,107,93.0434782608696,2.90720202575464
"J","true_n_Aj_limiting > 0",115,"msuRACiFit",115,0,0,0,5.83665057243932
"J","true_n_Aj_limiting == 0",85,"PhotoGEA",3,3.52941176470588,82,96.4705882352941,NA
"J","true_n_Aj_limiting == 0",85,"plantecophys",68,80,0,0,NA
"J","true_n_Aj_limiting == 0",85,"photosynthesis",85,100,0,0,NA
"J","true_n_Aj_limiting == 0",85,"msuRACiFit",85,100,0,0,NA
"Tp","true_n_Ap_limiting > 0",70,"PhotoGEA",69,1.42857142857143,69,98.5714285714286,0.0554098920873911
"Tp","true_n_Ap_limiting > 0",70,"plantecophys",69,1.42857142857143,0,0,0.0298877582794462
"Tp","true_n_Ap_limiting > 0",70,"photosynthesis",49,30,45,64.2857142857143,0.0201939893444158
"Tp","true_n_Ap_limiting > 0",70,"msuRACiFit",70,0,0,0,0.909739880323788
"Tp","true_n_Ap_limiting == 0",130,"PhotoGEA",0,0,130,100,NA
"Tp","true_n_Ap_limiting == 0",130,"plantecophys",30,23.0769230769231,0,0,NA
"Tp","true_n_Ap_limiting == 0",130,"photosynthesis",0,0,0,0,NA
"Tp","true_n_Ap_limiting == 0",130,"msuRACiFit",130,100,0,0,NA
"Vcmax","true_n_Ac_limiting > 0",174,"PhotoGEA",174,0,174,100,0.0938913719498664
"Vcmax","true_n_Ac_limiting > 0",174,"plantecophys",174,0,162,93.1034482758621,4.53373543656054
"Vcmax","true_n_Ac_limiting > 0",174,"photosynthesis",174,0,164,94.2528735632184,2.56769740428071
"Vcmax","true_n_Ac_limiting > 0",174,"msuRACiFit",174,0,0,0,4.61974479911385
"Vcmax","true_n_Ac_limiting == 0",26,"PhotoGEA",0,0,26,100,NA
"Vcmax","true_n_Ac_limiting == 0",26,"plantecophys",26,100,1,3.84615384615385,NA
"Vcmax","true_n_Ac_limiting == 0",26,"photosynthesis",26,100,1,3.84615384615385,NA
"Vcmax","true_n_Ac_limiting == 0",26,"msuRACiFit",26,100,0,0,NA
"RL","all",200,"PhotoGEA",200,0,200,100,0.00172032507546554
"RL","all",200,"plantecophys",200,0,195,97.5,0.0532337777053047
"RL","all",200,"photosynthesis",200,0,200,100,0.0345879999533921
"RL","all",200,"msuRACiFit",200,0,0,0,1.54598274589763
