"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","gmc_at_25","gmc_tl","drawdown_cm","alpha_g","alpha_old","alpha_s","alpha_t","Gamma_star_agt","J_at_25","RL_at_25","Tp_at_25","Vcmax_at_25","J_tl","RL_tl","Tp_tl","Vcmax_tl","atp_use","nadph_use","curvature_cj","curvature_cjp","c3_assimilation_msg","c3_optional_arguments","Ca_atmospheric","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC","gmc_tl_avg","J_tl_avg","RL_tl_avg","Tp_tl_avg","Vcmax_tl_avg","convergence","convergence_msg","feval","optimizer","operating_Ci","operating_Cc","operating_An","operating_An_model","optimum_val","alpha_g_lower","alpha_g_upper","alpha_old_lower","alpha_old_upper","alpha_s_lower","alpha_s_upper","alpha_t_lower","alpha_t_upper","Gamma_star_lower","Gamma_star_upper","gmc_at_25_lower","gmc_at_25_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Tp_at_25_lower","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","gmc_tl_avg_lower","gmc_tl_avg_upper","J_tl_avg_lower","J_tl_avg_upper","RL_tl_avg_lower","RL_tl_avg_upper","Tp_tl_avg_lower","Tp_tl_avg_upper","Vcmax_tl_avg_lower","Vcmax_tl_avg_upper","n_Ac_limiting","n_Aj_limiting","n_Ap_limiting","n_Ad_limiting","Vcmax_trust","J_trust","alpha_g_trust","alpha_old_trust","alpha_s_trust","alpha_t_trust","Tp_trust","remove_unreliable_param"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","fit_c3_aci","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci","apply_gm","apply_gm","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","NA","estimate_operating_point","estimate_operating_point","estimate_operating_point","fit_c3_aci","fit_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","confidence_intervals_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","fit_c3_aci","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points","identify_c3_unreliable_points"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol m^(-2) s^(-1) bar^(-1)","micromol mol^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","microbar","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","dimensionless","dimensionless","dimensionless","dimensionless","","","micromol mol^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","NA","micromol mol^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","dimensionless","micromol mol^(-1)","micromol mol^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","mol mol^(-2) s^(-1) bar^(-1)","mol mol^(-2) s^(-1) bar^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","","","","","","","","",""
"420","Inf","25","1","21","1800","Curve 1","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131",NA,"1.60244126903348",NA,"46.7736514536675","153.799131551739","1.60415512612469","19.0823836492439","46.8341867786944","4","8","1","1","","",NA,"17","5","12","1.29025300860956e-14","7.58972358005621e-16","2.75494529529285e-08","3.27904077514746e-08","-531.603717245171","Inf",NA,"1.60415512612469",NA,"46.8341867786944",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-271.801858622586",NA,NA,"-7.16414111296967","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"135.06613356954","Inf","1.60244126903348","1.60244126903348","7.3897046849348","Inf","46.7736514536675","46.7736514536675",NA,NA,"135.20385305176","Inf","1.60415512612469","1.60415512612469","7.39659740229008","Inf","46.8341867786944","46.8341867786944","17","0","0","0","2","0","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 2","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0","0","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","Inf","Inf","0","0","0.000316733243838499","0","0","36.9443833189131",NA,"0.809246704084603","5.80891179011556","35.0803738691916","89.5964819108502","0.810112216742781","5.81433002924935","35.1257755380423","4","8","1","1","","",NA,"17","5","12","6.77121153006107e-08","3.98306560591827e-09","6.31115330658215e-05","7.51177494008632e-05","-268.556728914827","Inf",NA,"0.810112216742781","5.81433002924935","35.1257755380423",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-140.278364457414",NA,NA,"0.000255698087588499","0.000316733243838499",NA,NA,NA,NA,NA,NA,NA,NA,"80.7550745131882","Inf","0.809185668928353","0.809246704084603","5.80891179011556","5.80891179011556","35.0803128340353","35.0808011152854",NA,NA,"80.8374160058677","Inf","0.810051116307673","0.810112216742781","5.81433002924935","5.81433002924935","35.1257144238932","35.1262033370859","14","0","3","0","2","0","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 3","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","8","0","9","0","0","0","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","Inf","Inf","0","0","2.44665414918102e-07","0","0","36.9443833189131",NA,"2.27769832207363","3.14688833728047","95.9273995527324","608.704391700867","2.28013438603202","3.14982358473383","96.0515505678968","4","8","1","1","","",NA,"17","5","12","6.6810774563112e-09","3.930045562536e-10","1.98243425175616e-05","2.35956872053475e-05","-307.928488351341","Inf",NA,"2.28013438603202","3.14982358473383","96.0515505678968",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-159.964244175671",NA,NA,"-1e-06","2.44665414918102e-07",NA,NA,NA,NA,NA,NA,NA,NA,"96.1833052047479","Inf","2.27769832207363","2.27769832207363","3.14688833728047","3.14688833728047","95.9271554121073","95.9277657636702",NA,NA,"96.2813780127932","Inf","2.28013438603202","2.28013438603202","3.14982358473383","3.14982358473383","96.0513061113003","96.0519172527915","8","0","9","0","2","0","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 4","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0","0","0","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","184.216431120969","0.970993319856123",NA,"84.4920427759861","184.40426644904","0.972031825178541","93.3392249770304","84.6013939408551","4","8","1","1","","",NA,"17","5","12","2.49112216740864e-12","1.46536598082861e-13","3.82800990180095e-07","4.55624312291081e-07","-442.131609954623","Inf","184.40426644904","0.972031825178541",NA,"84.6013939408551",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-227.065804977312",NA,NA,"-19.2150777415237","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"184.216431120969","184.216431120969","0.970993319856123","0.970993319856123","13.2923291790868","Inf","84.4920427759861","84.4920427759861",NA,NA,"184.40426644904","184.40426644904","0.972031825178541","0.972031825178541","13.304727545724","Inf","84.6013939408551","84.6013939408551","13","4","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 5","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0","0","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","Inf","Inf","0","0","0.0001359949376104","0","0","36.9443833189131",NA,"1.26810125580987","9.02372486306566","109.195507072254","625.061367745173","1.26945752662718","9.0321417061771","109.336829917631","4","8","1","1","","",NA,"17","5","12","1.82503294476845e-06","1.07354879104026e-07","0.000327650544183932","0.000389982151810444","-212.557229545799","Inf",NA,"1.26945752662718","9.0321417061771","109.336829917631",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-112.2786147729",NA,NA,"0.0001359949376104","0.0002580652501104",NA,NA,NA,NA,NA,NA,NA,NA,"160.421928833323","Inf","1.26779608002862","1.26816229096612","9.02372486306566","9.02403003884693","109.191980941321","109.196483634755",NA,NA,"160.585502220609","Inf","1.26915202445164","1.26951862706229","9.0321417061771","9.03244716660985","109.333299223114","109.337807744017","11","0","6","0","2","0","2","2","2","2","2","2"
"420","Inf","25","1","21","1800","Curve 6","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0","0","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","83.5909692461525","1.46516323462038",NA,"96.8063829239828","83.6762023441807","1.46673026889986","21.4518367571254","96.9316715356874","4","8","1","1","","",NA,"17","5","12","4.78942629155747e-15","2.8173095832691e-16","1.67848431129668e-08","1.99779592959288e-08","-548.450934687232","Inf","83.6762023441807","1.46673026889986",NA,"96.9316715356874",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-280.225467343616",NA,NA,"-3.81012225042543","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"83.5909692461525","83.5909692461525","1.46516323462038","1.46516323462038","4.12327115587957","Inf","96.8063829239828","96.8063829239828",NA,NA,"83.6762023441807","83.6762023441807","1.46673026889986","1.46673026889986","4.12711712048417","Inf","96.9316715356874","96.9316715356874","6","11","0","0","2","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 7","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0","0","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","Inf","Inf","0",NA,NA,NA,NA,"36.9443833189131","31.4785097895203","1.8906309412601",NA,NA,"31.5106066886814","1.89265302550628","25.4583032408238","641.275989921846","4","8","1","1","","",NA,"17","5","12","4.81404026840304e-16","2.83178839317826e-17","5.32145505776217e-09","6.33379840511932e-09","-587.507738043334","Inf","31.5106066886814","1.89265302550628",NA,NA,NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-299.753869021667",NA,NA,"-8.75802356959227","Inf",NA,NA,NA,NA,NA,NA,NA,NA,"31.4785097895203","31.4785097895203","1.8906309412601","1.8906309412601","1.79862910656944","Inf","50.9037944673176","Inf",NA,NA,"31.5106066886814","31.5106066886814","1.89265302550628","1.89265302550628","1.80030677064225","Inf","50.9696750998407","Inf","0","17","0","0","0","2","0","0","0","0","0","2"
"420","Inf","25","1","21","1800","Curve 8","269.339066927749","163.714641783332",NA,"1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0","0","0","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","Inf","Inf","0","0","1.55146490034266e-05","0","0","36.9443833189131",NA,"1.71115844799244","2.6859898762137","55.3994971979456","79.2110527414105","1.71298858123785","2.68849522247924","55.4711962521135","4","8","1","1","","",NA,"17","5","12","1.67171621280804e-08","9.83362478122379e-10","3.13586109086863e-05","3.73242125704844e-05","-292.33682625891","Inf",NA,"1.71298858123785","2.68849522247924","55.4711962521135",NA,NA,"10050","optimizer_deoptim",NA,NA,NA,NA,"-152.168413129455",NA,NA,"1.55146490034266e-05","1.55146490034266e-05",NA,NA,NA,NA,NA,NA,NA,NA,"61.1067752758514","Inf","1.71115844799244","1.71115844799244","2.6859898762137","2.6859898762137","55.3983985651327","55.3996192682581",NA,NA,"61.1690824821709","Inf","1.71298858123785","1.71298858123785","2.68849522247924","2.68849522247924","55.4700961974297","55.4713184804117","9","0","8","0","2","0","2","2","2","2","2","2"
