"Ca","gmc","TleafCnd","total_pressure","oxygen","Qin","curve_identifier","Kc","Ko","Gamma_star","Vcmax_norm","J_norm","RL_norm","gmc_norm","Tp_norm","true_n_Ac_limiting","true_n_Aj_limiting","true_n_Ap_limiting","true_alpha_g","true_alpha_old","true_alpha_s","true_J_at_25","true_RL_at_25","true_Tp_at_25","true_Vcmax_at_25","RSS_reported","citransition1","citransition2","alpha","theta_J","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","V_cmax_pts","J_max_pts","V_TPU_pts","J_lower","J_upper","R_d_lower","R_d_upper","V_TPU_lower","V_TPU_upper","V_cmax_lower","V_cmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"NA","NA","NA","NA","NA","NA","NA","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_arrhenius","calculate_temperature_response_johnson","calculate_temperature_response_johnson","NA","NA","NA","","","","","","","","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","fit_c3_aci_photosynthesis","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"micromol mol^(-1)","mol m^(-2) s^(-1) bar^(-1)","degrees C","bar","percent","micromol m^(-2) s^(-1)","","micromol mol^(-1)","mmol mol^(-1)","micromol mol^(-1)","normalized to Vcmax at 25 degrees C","normalized to J at 25 degrees C","normalized to RL at 25 degrees C","normalized to gmc at 25 degrees C","normalized to Tp at 25 degrees C","NA","NA","NA","dimensionless","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","micromol mol^(-1)","micromol mol^(-1)","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","","","","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"420","Inf","298.15","1","21","1800","Curve 1","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","17","0","0","0","0","0","145.547406748333","1.60244125088677","16.4606548431143","46.7736513387645","1.60730409438781e-29","1186.5","1330","0.36125","0.7","46.8341866636427","1.98022082661419e-15","145.851433760179","135.203805021027",NA,NA,NA,"1.60415510795857","5.6917271797114e-16","16","1","0",NA,NA,"1.60415510795857","1.60415510795857",NA,NA,"46.8341866636427","46.8341866636427","TRUE","17","4","13","3.30458763577739e-29","1.94387507986906e-30","1.39422920636065e-15","1.5943620947136e-15","-1104.77486873901"
"420","Inf","298.15","1","21","1800","Curve 2","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","14","0","3","0","0","0","125.950158981257","0.809220046047121","5.80910727549344","35.0804832506692","0.308557618356211","756","1330","0.36125","0.7","35.1258850610835","1.68852899519093e-15","80.5759499757868","77.4355293767731","0.251715903840131",NA,NA,"0.81008553019376","3.62203774732785e-16","14","3","0","76.9421662052464","77.9288925482997","0.810085530193759","0.81008553019376",NA,NA,"35.1258850610835","35.1258850610835","FALSE","17","4","13","0.829802202644401","0.0488118942732001","0.220934140125966","0.252647855057101","6.90762869680299"
"420","Inf","298.15","1","21","1800","Curve 3","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","8","0","9","0","0","0","124.681234126352","2.27772794398945","3.14690385617316","95.9278383455239","5.92525017634815","119.5","211","0.36125","0.7","96.051989928582","8.19214544777721e-15","75.4851066254108","72.73678514442","1.85961380992145","3.1498391181017","2.74097811047532e-16","2.28016403962933","3.74619746317759e-16","8","2","7","69.0919420769739","76.381628211866","2.28016403962933","2.28016403962933","3.1498391181017","3.1498391181017","96.051989928582","96.051989928582","FALSE","17","4","13","7.13498603449246","0.419705060852498","0.64784647938574","0.740840792327436","43.4844582712503"
"420","Inf","298.15","1","21","1800","Curve 4","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","13","4","0","0","0","0","184.216428957321","0.970993463299237","17.5572359490581","84.4920419288101","4.02590232598886e-28","566","1330","0.36125","0.7","84.6013930925826","1.23952225101371e-14","206.303101223379","184.404264283186","6.9283216324525e-15",NA,NA,"0.97203196877507","2.18976149378461e-15","13","4","0","184.404264283186","184.404264283186","0.972031968775066","0.972031968775075",NA,NA,"84.6013930925826","84.6013930925827","TRUE","17","4","13","5.502428073433e-28","3.23672239613706e-29","5.68921997828969e-15","6.50587194737481e-15","-1056.96300011897"
"420","Inf","298.15","1","21","1800","Curve 5","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","11","0","6","0","0","0","188.570318754599","1.26797972631175","9.02404085695744","109.193462848081","6.00145759756007","314","566","0.36125","0.7","109.334783047785","7.65278482720663e-15","150.473442724917","139.114674327629","0.832855940107967","9.0324579948109","0","1.26933586714976","8.0757071109185e-16","11","2","4","137.482276685017","140.74707197024","1.26933586714976","1.26933586714976","9.0324579948109","9.0324579948109","109.334783047785","109.334783047785","FALSE","17","4","13","12.5382575985887","0.737544564622867","0.858804148000501","0.982080115742904","53.0686211071884"
"420","Inf","298.15","1","21","1800","Curve 6","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","6","11","0","0","0","0","83.5909694038099","1.46516326073557","8.17190252667293","96.8063829514431","2.19512872829391e-28","74.5","1330","0.36125","0.7","96.9316715631833","6.56740328316498e-15","87.3835960821865","83.6762025019988","1.98018481384646e-15",NA,NA,"1.46673029504299","1.54047015875864e-16","6","11","0","83.6762025019988","83.6762025019988","1.46673029504299","1.46673029504299",NA,NA,"96.9316715631833","96.9316715631833","TRUE","17","4","13","3.55973483480982e-29","2.09396166753519e-30","1.44705275216047e-15","1.65476813035492e-15","-1103.5105045888"
"420","Inf","298.15","1","21","1800","Curve 7","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","0","17","0","0","0","0","31.4785098014632","1.89063093741192","12.0353985546716","95.2503358495887","0.00164619847019911","44","1330","0.36125","0.7","49.4890648913953","1.78509449866703","32.0787378681701","31.5946766055911","0.00300943509857319",NA,NA,"1.90764388330266","0.021217220916681","3","14","0","31.5887781127979","31.6005750983843","1.86605813030597","1.94922963629936",NA,NA,"45.9902796740079","52.9878501087827","FALSE","17","4","13","0.00168114510692571","9.88908886426889e-05","0.00994438980745872","0.0113718448098319","-98.5214785303798"
"420","Inf","298.15","1","21","1800","Curve 8","269.339066927749","163.714641783332","36.9443833189131","1.00129421850007","1.00101964481088","1.00106952880229","1.00136162647762","1.0009327459823","9","0","8","0","0","0","136.742220030655","1.71116492936853","2.68600964946672","55.3990659936098","2.00272136266378","157","314","0.36125","0.7","55.4707644897051","7.06130924407409e-15","54.3371100164799","52.9300309048447","0.872519999555699","2.68851501417569","1.1466334093198e-16","1.71299506954596","4.27125313147639e-16","9","2","6","51.2198917057155","54.6401701039739","1.71299506954596","1.71299506954596","2.68851501417569","2.68851501417569","55.4707644897051","55.4707644897051","FALSE","17","4","13","1.29009876029655","0.0758881623703854","0.275478061504697","0.315021215438989","14.4095024348167"
