"J","RL","Tp","Vcmax","package"
152.142916126419,0.459116293108659,8.26379298844565,87.0951780734091,"PhotoGEA (old alpha)"
NA,0.81652747341433,8.47225025247995,89.8404488408809,"PhotoGEA (old alpha)"
Inf,1.17701243086137,8.69003837184263,93.1603516154797,"PhotoGEA (old alpha)"
171.991619069193,2.2468908054245,8.81113989622806,89.0511311444606,"PhotoGEA (new alpha)"
NA,2.60682688278058,9.01959314154915,91.5816028002176,"PhotoGEA (new alpha)"
Inf,2.96355187183191,9.22918223571859,94.6808144633184,"PhotoGEA (new alpha)"
NA,0.104732492405954,NA,84.287830997857,"plantecophys"
NA,0.812596963626346,10.0752595451753,89.8330916661146,"plantecophys"
NA,1.52046143484674,NA,95.3783523343722,"plantecophys"
NA,0.148213140569259,9.29595944624443,85.526488439743,"photosynthesis"
155.336187841366,0.810634249045223,9.74929689204039,89.7856227205734,"photosynthesis"
NA,1.47305535752119,10.2026343378363,94.0447570014038,"photosynthesis"
NA,NA,NA,NA,"msuRACiFit"
179.045086082126,0.911554973442298,8.64532914477677,89.5848353948101,"msuRACiFit"
NA,NA,NA,NA,"msuRACiFit"
NA,NA,NA,NA,"PCE calculator"
159.9517678,0.703257619,8.403578174,90.73320008,"PCE calculator"
NA,NA,NA,NA,"PCE calculator"
