"averaging","ppfd","replicate","species","instrument","Leak","LeakPct","CorrFact","CorrFactPct","DarkAdaptedID","Qmax_d","Fo","Fm","Fv/Fm","A_dark","PS2/1","S","K","Geometry","Tleaf2","Offset","Offset2","Qamb_in","f_farred","Q_modavg","Q_farred","state","period","Total","Tleaf2_mv","Tleaf2_j","Pump","AccH2O_hum","AccH2O_des","DAC_1","DAC_2","DAC_3","DAC_4","GPIO","GPIO_dir","excit_5v","power_12v","power_5v","ch1_pullup","AuxPower","MatchValveR","MatchValveS","co2_fit_low","co2_fit_high","h2o_fit_low","h2o_fit_high","DIAG","oxygen","file_name","date_ymd","curve_identifier","ppfd_replicate","RSS_reported","Ci_transition","Ci_transition2","Tcorrect","Rd_measured","GammaStar","Km","kminput","gstarinput","fitmethod","citransition","gmeso","fitTPU","alphag","Vcmax","Vcmax_err","Qin_avg","alpha","theta","Rd","Rd_err","ci_star","A_transition","Jmax","Jmax_err","J","J_err","TPU","TPU_err","J_lower","J_upper","Rd_lower","Rd_upper","TPU_lower","TPU_upper","Vcmax_lower","Vcmax_upper","admissible","npts","nparam","dof","RSS","MSE","RMSE","RSE","AIC"
"SysObs","UserDefCon","UserDefCon","UserDefCon","UserDefCon","Leak","Leak","Leak","Leak","FLR","FLR","FLR","FLR","FLR","FLR","FLR","Const","Const","Const","Meas","Meas","Meas","Meas","FlrLS","FlrLS","FlrLS","FlrLS","FlrStats","Stability","Raw","Status2","Status2","Status2","Status2","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","Auxiliary","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","MchStatus","Status","in","read_gasex_file","NA","NA","NA","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","NA","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","fit_c3_aci_plantecophys","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats","residual_stats"
"s","micromol m^(-2) s^(-1)","NA","NA","NA","micromol s^(-1)","%","NA","%","NA","NA","NA","NA","NA","micromol m^(-2) s^(-1)","NA","cm^2","NA","NA","degrees C","degrees C","degrees C","micromol m^(-2) s^(-1)","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","s","NA","mV","degrees C","NA","mg","mg","V","V","V","V","NA","NA","NA","NA","NA","NA","V","%","%","micromol mol^(-1)","micromol mol^(-1)","mmol mol^(-1)","mmol mol^(-1)","NA","percent","NA","NA","NA","NA","NA","micromol mol^(-1)","micromol mol^(-1)","","","micromol mol^(-1)","micromol mol^(-1)","","","","micromol mol^(-1)","mol m^(-2) s^(-1)","","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","dimensionless","dimensionless","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","NA","NA","NA","(micromol m^(-2) s^(-1))^2","(micromol m^(-2) s^(-1))^2","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)",""
"none","100","wt-3-2","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-23 ed aci mcgrath1","2023-03-23","100 - wt-3-2 - mcgrath1","100 - wt-3-2","0.318069858000918","249.693147333279","1111.40424215092","FALSE","FALSE","39.0920185898398","730.374867047435","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","24.9337710399689","0.799746831026427","99.9373882352941","0.36125","0.7","1.00515034174044","0.0738093714799826","71.4186243877314","4.29967477819426","155.415340913152",NA,"33.3659072669995",NA,"2.506376283435",NA,NA,NA,"0.860483973639678","1.14981670984121",NA,NA,"23.3662672511571","26.5012748287807","FALSE","17","4","13","0.318069858000918","0.0187099916471128","0.136784471513081","0.156419027467622","-9.39394881835246"
"none","100","wt-4","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","100 - wt-4 - ripe5","100 - wt-4","1.39350715689852","372.828921050119",NA,"FALSE","FALSE","39.1049549598858","731.031145736763","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","21.9534661478872","0.975275148284182","100.025194117647","0.36125","0.7","0.981950228397575","0.13087125692919","75.168362009672","5.5894073428","1561.10951374143",NA,"35.8808730362154",NA,NA,NA,NA,NA,"0.725442564816363","1.23845789197879",NA,NA,"20.0419268572502","23.8650054385242","FALSE","17","4","13","1.39350715689852","0.0819710092293248","0.286305796709261","0.32740320435659","15.7202862453235"
"none","100","wt-7","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-23 ed aci ripe5","2023-03-23","100 - wt-7 - ripe5","100 - wt-7","0.873800833152762","169.070579844909","1329.40270003339","FALSE","FALSE","38.9880813315708","728.252177649134","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","32.3438110198701","1.64137064333305","99.9621235294118","0.36125","0.7","1.34390363279586","0.0976046143111555","72.2567999277557","3.29846917119777","808.716545751371",NA,"35.6189939780322",NA,"2.72156464062627",NA,NA,NA,"1.15259858874599","1.53520867684572",NA,NA,"29.1267245589373","35.5608974808029","FALSE","17","4","13","0.873800833152762","0.051400049008986","0.226715789059752","0.259259423558834","7.78593552729156"
"none","100","wt-8","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-21 ed aci mcgrath1","2023-03-21","100 - wt-8 - mcgrath1","100 - wt-8","0.957791917252202","251.017099230564",NA,"FALSE","FALSE","39.333809416875","735.413881293624","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","24.9518610800582","0.957184009835247","100.02079375","0.36125","0.7","1.24820133610578","0.0747025516727568","80.1369391808486","4.05333133822149","153.657497836702",NA,"33.3576192590357",NA,NA,NA,NA,NA,"1.10178433482718","1.39461833738439",NA,NA,"23.0757804207812","26.8279417393353","FALSE","16","4","12","0.957791917252202","0.0598619948282626","0.244667110229926","0.282517243906191","10.3546178270768"
"none","1000","wt-1","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-23 ed aci mcgrath1","2023-03-23","1000 - wt-1 - mcgrath1","1000 - wt-1","16.4911996330505","1999.99991561528","400.000077544781","FALSE","FALSE","39.0185939623712","729.32782960555","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","76.3104286038346","2.2672112946443","1000.04135294118","0.36125","0.7","1.38806475802429","0.323022863901061","53.2537465492612","24.0348438823386",NA,NA,NA,NA,"8.47430361303675",NA,NA,NA,"0.754939944778206","2.02118957127037",NA,NA,"71.8666944663318","80.7541627413374","TRUE","17","4","13","16.4911996330505","0.970070566650032","0.984921604316827","1.12630094465332","57.727340291839"
"none","1000","wt-5","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-21 ed aci mcgrath1","2023-03-21","1000 - wt-5 - mcgrath1","1000 - wt-5","30.0455455949937","1999.99991561528","400.000077544781","FALSE","FALSE","39.2888396381419","734.211657538221","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","92.3781119107809","5.41030881520327","999.997375","0.36125","0.7","2.32275310856725","0.618664982117522","59.2398016151564","32.8968767046486",NA,NA,NA,NA,"11.7398779381129",NA,NA,NA,"1.11016974361691","3.53533647351759",NA,NA,"81.7739066329825","102.982317188579","FALSE","16","4","12","30.0455455949937","1.8778465996871","1.37034543079003","1.58233860669879","65.4880441768236"
"none","1200","wt-6","tobacco","mcgrath1","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","5.00098","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","1","2242","1","25","18","21","data/tobacco/2023-03-23 ed aci mcgrath1","2023-03-23","1200 - wt-6 - mcgrath1","1200 - wt-6","19.9906781045086","1999.99991561528","400.000077544781","FALSE","FALSE","39.0118032312775","729.681759227916","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","108.383853514565","2.77005404508101","1199.99058823529","0.36125","0.7","1.42423401165942","0.379713620389241","49.2476386364612","35.0972841226779",NA,NA,NA,NA,"12.1738404542253",NA,NA,NA,"0.679995315696508","2.16847270762233",NA,NA,"102.954547586207","113.813159442924","TRUE","17","4","13","19.9906781045086","1.17592224144169","1.08439948425001","1.24005825249364","60.9988064721025"
"none","150","wt-1","tobacco","ripe5","0","0","1","0","RECT-12243-20210724-05_20_30","10238.9","302.212","4052.3","0.925422105964514","-0.323430118240924","0.5","6","0.5","0: Broadleaf","999.9","0","0","0","0","4.99958","0","0","15","2","0","999.9","1","9999","9999","5","0","0","0","11111111","oooooooo","off","off","off","off","0","100","100","6","2275","1","21","18","21","data/tobacco/2023-03-24 ed aci ripe5","2023-03-24","150 - wt-1 - ripe5","150 - wt-1","5.44815761069589","391.543641458772",NA,"FALSE","FALSE","38.9511042160602","727.384291402273","TRUE","TRUE","bilinear",NA,NA,"TRUE","0","32.289458866364","0.954885858995706","150.004176470588","0.36125","0.7","2.54640132950453","0.166402067579343","104.567407171187","7.52779460633053",NA,NA,NA,NA,NA,NA,NA,NA,"2.22025327704902","2.87254938196004",NA,NA,"30.4178825827324","34.1610351499956","FALSE","17","4","13","5.44815761069589","0.320479859452699","0.566109405903752","0.647370872820678","38.8990007534663"
