"curve_identifier","replicate","instrument","ppfd","A","Ci","CO2_r_sp","TleafCnd","total_pressure","limiting_rate","Ac","Aj","Ap","A_fit"
"NA","UserDefCon","UserDefCon","UserDefCon","GasEx","GasEx","Status","GasEx","calculate_total_pressure","pce_calculator","pce_calculator","pce_calculator","pce_calculator","pce_calculator"
"NA","NA","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol mol^(-1)","micromol mol^(-1)","degrees C","kPa","NA","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)","micromol m^(-2) s^(-1)"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","-1.306753666","15.87479746","10","26.886","99.003411","1","-3.609312551","-10.8390704","3.218361166","-3.609312551"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","-1.426464502","26.35545208","20","27.0044","98.9985637","1","-2.342806889","-5.932707571","1.699606498","-2.342806889"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","-1.400248033","36.10886419","30","27.0359","98.989749","1","-1.194576977","-2.157612207","0.077732845","-1.194576977"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","-0.981857778","43.80369424","40","27.0094","98.9833029","1","-0.308644758","0.40336434","-1.374272223","-0.308644758"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","-0.334349448","50.30517796","50","26.9945","98.9812317","1","0.426590634","2.332720989","-2.742732864","0.426590634"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","1.311510019","66.13956728","75","27.028","98.9838581","1","2.168164496","6.316991601","-6.770519194","2.168164496"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","3.03875508","80.893371","100","26.9643","98.9890957","1","3.73104399","9.326712722","-11.76614785","3.73104399"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","6.188234333","111.7877794","150","26.881","98.9866908","1","6.830062108","14.13458786","-29.99399611","6.830062108"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","9.204619772","141.6448983","200","26.9775","98.9873846","1","9.620633635","17.51157281","-81.45184442","9.620633635"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","14.92880987","202.3331035","300","27.0347","98.974879","1","14.75268055","22.17991658","139.7922225","14.75268055"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","19.8179103","267.5325135","400","27.035","98.971506","1","19.58310336","25.38228446","60.05386013","19.58310336"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","26.46964298","366.787437","500","27.0123","98.9685689","1","25.85231954","28.4657909","41.8223392","25.85231954"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","30.13045183","448.1641026","600","27.0537","98.9591582","2","30.21645883","30.13044751","36.69667205","30.13044751"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","31.62368724","639.0995553","800","27.0279","98.9655387","3","38.44666181","32.55865863","31.70055286","31.70055286"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","29.74538773","843.7380137","1000","26.9048","98.969922","3","45.07612599","34.04753578","29.50510769","29.50510769"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","28.18446219","1045.285255","1200","26.9403","98.9674793","3","50.12697006","34.98494808","28.35001745","28.35001745"
"800 - wt-5 - mcgrath1","wt-5","mcgrath1","800","27.38191936","1339.594588","1500","27.0138","98.97598","3","55.75104346","35.87591106","27.38039605","27.38039605"
