"curve_identifier","ppfd","RSS","Vcmax_tl","J_tl","Tp_tl","RL_tl","alpha_old","Vcmax_at_25","J_at_25","Tp_at_25","RL_at_25","Notes","RMSE","AIC","alpha_old_lower","alpha_old_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Tp_at_25_lower","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","J_tl_lower","J_tl_upper","RL_tl_lower","RL_tl_upper","Tp_tl_lower","Tp_tl_upper","Vcmax_tl_lower","Vcmax_tl_upper"
"100 - wt-3-2 - mcgrath1",100,0.349095301,26.30549189,33.24172889,NA,1.012427826,NA,22.07520683,29.54291337,NA,0.893781746,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-4 - ripe5",100,0.678453771,24.7167914,37.48469768,NA,1.066858513,NA,20.74199124,33.31376596,NA,0.94183372,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-7 - ripe5",100,0.847684187,33.03823252,35.68846095,NA,1.329092794,NA,27.72523012,31.71739694,NA,1.173336853,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-8 - mcgrath1",100,1.152619728,28.19948969,33.62031273,NA,1.354963606,NA,23.66462372,29.87937209,NA,1.196175872,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-1 - ripe5",150,0.816876795,35.78043754,58.7865704,NA,2.67356075,NA,30.02645084,52.24537395,NA,2.360247056,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-3 - mcgrath1",150,1.809619437,32.70120686,49.08465464,NA,1.09202295,NA,27.44240282,43.62299279,NA,0.964049145,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-6 - ripe5",150,1.645417504,44.10001225,52.4122725,NA,1.018552591,NA,37.00812346,46.58034578,NA,0.899188753,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-1 - ripe5",200,1.626641986,45.99238041,72.18637263,NA,1.102196304,NA,38.59617278,64.15417682,NA,0.973030286,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-8 - mcgrath1",200,0.442857809,41.85920746,64.67310242,NA,1.042566096,NA,35.12767091,57.47691007,NA,0.920388123,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-10 - mcgrath1",200,1.809708487,42.08592874,64.20230049,NA,1.327792302,NA,35.31793229,57.05849439,NA,1.172188765,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
